response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mouseResp.clicked_name,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
c,0,13.1329999,0.023467262,-0.163534226,0,0,0,1,0,8,5,1,7,1,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,,,,,,,
v,0,1.006000042,0.023467262,-0.163534226,0,0,0,1,0,8,4,1,7,1,-0.375,c,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,,,,,,,
v,0,1.990999937,0.023467262,-0.163534226,0,0,0,1,0,8,7,1,7,1,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,,,,,,,
c,1,9.180000067,0.023467262,-0.163534226,0,0,0,1,0,8,0,1,7,1,-0.375,c,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,,,,,,,
v,1,5.161000013,0.023467262,-0.163534226,0,0,0,1,0,8,1,1,7,1,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,,,,,,,
v,0,0.85800004,0.023467262,-0.163534226,0,0,0,1,0,8,3,1,7,1,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,,,,,,,
b,1,0.407000065,0.023467262,-0.163534226,0,0,0,1,0,8,6,1,7,1,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,,,,,,,
c,0,0.342000008,0.023467262,-0.163534226,0,0,0,1,0,8,2,1,7,1,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,,,,,,,
,0,,0.414776786,-0.00436756,1,0,0,,,,,,,1.2222,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,7,1,39
,0,,-0.138199405,-0.009248512,1,0,0,,,,,,,2.3332,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,25,1,39
,0,,0.036011905,0.000744048,1,0,0,,,,,,,2.111,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,22,1,39
,0,,-0.140985863,0.002712054,1,0,0,,,,,,,2.7776,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,33,1,39
,0,,0.304021577,0.031915923,1,0,0,,,,,,,2.5554,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,31,1,39
,0,,0.411030506,0.019698661,1,0,0,,,,,,,2.7776,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,35,1,39
,0,,-0.429866071,0.040130208,1,0,0,,,,,,,2.3332,-0.375,c,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,24,1,39
,0,,0.420197173,0.042931548,1,0,0,,,,,,,1.6666,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,15,1,39
,0,,-0.095215774,0.023270089,1,0,0,,,,,,,1.4444,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,9,1,39
,0,,0.366473214,0.025104167,1,0,0,,,,,,,1,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,3,1,39
,0,,0.164029018,0.009884673,1,0,0,,,,,,,2.7776,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,34,1,39
,0,,-0.116510417,0.013258929,1,0,0,,,,,,,1.6666,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,13,1,39
,0,,0.121034226,0.020535714,1,0,0,,,,,,,1,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,2,1,39
,0,,-0.363701637,0.015818452,1,0,0,,,,,,,1.8888,-0.375,c,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,16,1,39
,0,,-0.361532738,0.016800595,1,0,0,,,,,,,2.9998,-0.375,c,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,36,1,39
,0,,-0.175133929,0.015212054,1,0,0,,,,,,,2.9998,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,37,1,39
,0,,0.08625372,0.015606399,1,0,0,,,,,,,2.5554,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,30,1,39
