participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,0.209259259,-0.226851852,1,0,0,4.7204,plus_button,1,3.2204,,0,0,0,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,-0.203703704,-0.289814815,1,0,0,2.2761,cross_button,1,1.1761,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,0.210185185,-0.213888889,1,0,0,1.9807,plus_button,1,0.6807,,0,2,2,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,0.187037037,-0.237037037,1,0,0,2.4893,plus_button,1,1.3893,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,-0.02037037,-0.242592593,1,0,0,2.5389,square_button,1,1.4389,,0,4,4,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,-0.24537037,-0.271296296,1,0,0,2.727,cross_button,1,1.427,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,0.086111111,-0.237037037,1,0,0,1.9658,square_button,1,0.6658,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,0.062037037,-0.240740741,1,0,0,2.0767,square_button,0,0.5767,,0,7,7,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,0.051851852,-0.225925926,1,0,0,2.6078,square_button,1,1.1078,,0,8,8,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,,,,,,,,,,,,,,,,,,,,0.053703704,-0.231481481,1,0,0,,,,,
e,001,2023-09-30_18h14.08.871,choiceRTT,2023.1.3,Win32,58.94488653,,0,0.056481481,-0.223148148,1,0,0,2.3347,square_button,1,0.8347,,,,,,,1.5,images/target_square.jpg,,,,,,,0,0,0,2,1
