participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.015123766,-0.236801893,1,0,0,7.4548,square_button,1,6.3548,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.186555786,-0.245396254,1,0,0,2.7526,cross_button,1,1.6526,space,0,1,1,0,1,1.1,images/target_cross.jpg,3.3842,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.283639086,-0.255565592,1,0,0,2.8908,cross_button,0,1.3908,space,0,2,2,4,1,1.5,images/target_plus.jpg,3.1112,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.283639086,-0.255565592,1,0,0,1.9621,cross_button,1,0.6621,space,0,3,3,3,1,1.3,images/target_cross.jpg,2.667,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.005831977,-0.260341526,1,0,0,3.0052,square_button,1,1.7052,space,0,4,4,8,1,1.3,images/target_square.jpg,1.0478,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.211830512,-0.242100898,1,0,0,2.6412,cross_button,1,1.1412,space,0,5,5,6,1,1.5,images/target_cross.jpg,4.1216,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.004785767,-0.24577752,1,0,0,2.4691,square_button,1,0.9691,space,0,6,6,2,1,1.5,images/target_square.jpg,3.2526,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.238218045,-0.236892632,1,0,0,2.1553,cross_button,0,1.0553,space,0,7,7,7,1,1.1,images/target_plus.jpg,1.9883,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.232150811,-0.222096354,1,0,0,2.4058,plus_button,1,1.1058,space,0,8,8,1,1,1.3,images/target_plus.jpg,5.711,,,,,,,,,,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,space,5.8454,,-0.031684706,-0.105537245,0,0,0,,,,,
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.211174113,-0.252692329,1,0,0,2.5793,plus_button,1,1.0793,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,,,0,0,0,4,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.207126804,-0.232042101,1,0,0,2.0899,cross_button,1,0.9899,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,,,0,1,1,0,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.036093818,-0.280326538,1,0,0,2.0835,square_button,1,0.9835,,,,,,,1.1,images/target_square.jpg,,,,,,,,,,,0,2,2,5,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.003134359,-0.240369805,1,0,0,2.1331,square_button,1,0.8331,,,,,,,1.3,images/target_square.jpg,,,,,,,,,,,0,3,3,8,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.290631205,-0.232269016,1,0,0,2.6315,cross_button,1,1.1315,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,,,0,4,4,6,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.24286967,-0.260312432,1,0,0,2.0993,plus_button,1,0.7993,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,,,0,5,5,1,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.040871582,-0.276014879,1,0,0,2.3352,square_button,1,0.8352,,,,,,,1.5,images/target_square.jpg,,,,,,,,,,,0,6,6,2,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.208189087,-0.249085015,1,0,0,2.1967,cross_button,1,0.8967,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,,,0,7,7,3,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.19575609,-0.233924289,1,0,0,1.8839,plus_button,1,0.7839,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,,,0,8,8,7,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.26337694,-0.298388808,1,0,0,1.9653,plus_button,1,0.8653,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,,,1,0,9,7,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.028126628,-0.223174981,1,0,0,2.3155,square_button,1,0.8155,,,,,,,1.5,images/target_square.jpg,,,,,,,,,,,1,1,10,2,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.235089993,-0.231590712,1,0,0,2.717,cross_button,1,1.417,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,,,1,2,11,3,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.196399943,-0.21681193,1,0,0,2.2231,cross_button,1,0.7231,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,,,1,3,12,6,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.206772122,-0.219037204,1,0,0,2.1829,plus_button,1,0.8829,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,,,1,4,13,1,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.193636339,-0.245510593,1,0,0,2.6141,cross_button,1,1.5141,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,,,1,5,14,0,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.036328125,-0.228661567,1,0,0,2.1356,square_button,1,0.8356,,,,,,,1.3,images/target_square.jpg,,,,,,,,,,,1,6,15,8,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.026114638,-0.23912306,1,0,0,2.8805,square_button,1,1.7805,,,,,,,1.1,images/target_square.jpg,,,,,,,,,,,1,7,16,5,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,0.212141317,-0.256476169,1,0,0,2.8562,plus_button,1,1.3562,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,,,1,8,17,4,1
e,001,2023-11-26_18h59.44.821,choiceRTT,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
