participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,,0,-0.035978836,-0.229100529,1,0,0,2.969,square_button,1,1.469,space,1.581,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,,0,0.133333333,-0.256613757,1,0,0,2.426,plus_button,1,0.926,space,0.728,,0,1,1,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,,0,-0.206349206,-0.200529101,1,0,0,1.922,cross_button,1,0.822,space,0.569,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,,0,-0.08042328,-0.241798942,1,0,0,2.004,square_button,1,0.704,space,0.548,,0,3,3,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,,0,0.15978836,-0.274603175,1,0,0,2.112,plus_button,1,0.812,space,2.431,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,,,,,,,,,0.764,space,0.742,,0,5,5,3,1,1.3,images/target_cross.jpg,2.064,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,,,,,,,,,0.809,space,0.486,,0,6,6,7,1,1.1,images/target_plus.jpg,1.909,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,,,,,,,,,0.624,space,0.457,,0,7,7,6,1,1.5,images/target_cross.jpg,2.124,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,,,,,,,,,0.67,space,0.616,,0,8,8,5,1,1.1,images/target_square.jpg,1.77,,,,,,,,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,0.055026455,-0.242857143,1,0,0,,,,,
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,v,0,,,,,,,,,0.618,,,,,,,,,1.5,images/target_cross.jpg,2.118,,,,,,,,0,0,0,6,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,,,,,,,,,1.044,,,,,,,,,1.1,images/target_plus.jpg,2.144,,,,,,,,0,1,1,7,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,,,,,,,,,0.797,,,,,,,,,1.1,images/target_square.jpg,1.897,,,,,,,,0,2,2,5,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,,,,,,,,,0.992,,,,,,,,,1.1,images/target_cross.jpg,2.092,,,,,,,,0,3,3,0,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,,,,,,,,,0.726,,,,,,,,,1.5,images/target_square.jpg,2.226,,,,,,,,0,4,4,2,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,,,,,,,,,0.493,,,,,,,,,1.3,images/target_square.jpg,1.793,,,,,,,,0,5,5,8,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,,,,,,,,,0.539,,,,,,,,,1.3,images/target_plus.jpg,1.839,,,,,,,,0,6,6,1,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,c,0,,,,,,,,,0.446,,,,,,,,,1.5,images/target_plus.jpg,1.946,,,,,,,,0,7,7,4,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,,,,,,,,,3.29,,,,,,,,,1.3,images/target_cross.jpg,4.59,,,,,,,,0,8,8,3,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,,,,,,,,,0.842,,,,,,,,,1.5,images/target_cross.jpg,2.342,,,,,,,,1,0,9,6,1
ee,001,2023-11-28_16h10.13.618,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,,,,,,,,,0.92,,,,,,,,,1.1,images/target_plus.jpg,2.02,,,,,,,,1,1,10,7,1
