response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.163888878,-7.4558E-09,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,,,,,,
,0,-0.104629561,-0.000925933,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,,,,,,
,0,0.222222239,-0.001851859,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,,,,,,
,0,-0.420370335,0.018518511,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,,,,,,
,0,0.087037052,-0.010185193,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,,,,,,
,0,0.286111129,-0.0175926,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,,,,,,
,0,-0.337037029,-0.005555563,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,,,,,,
,0,0.350926057,-0.033333341,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,,,,,,
,0,0.362037056,-0.016666674,1,0,0,targImage,,,,,,,1.4444,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.383333326,0.004629622,1,0,0,targImage,,,,,,,2.5554,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.372222241,-0.027777786,1,0,0,targImage,,,,,,,1.2222,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.133333322,0.024999993,1,0,0,targImage,,,,,,,2.5554,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.327777769,0.001851844,1,0,0,targImage,,,,,,,2.3332,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.35185187,-0.009259267,1,0,0,targImage,,,,,,,1.6666,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.114814803,0.015740734,1,0,0,targImage,,,,,,,2.9998,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.102777766,0.028703697,1,0,0,targImage,,,,,,,2.3332,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.323148279,-0.012037045,1,0,0,targImage,,,,,,,1,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.184259249,0.003703696,1,0,0,targImage,,,,,,,1.6666,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.332407539,-0.015740748,1,0,0,targImage,,,,,,,2.7776,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.363888908,-0.021296304,1,0,0,targImage,,,,,,,1.8888,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.337962955,0.016666659,1,0,0,targImage,,,,,,,1.4444,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.167592608,-7.4558E-09,1,0,0,targImage,,,,,,,1,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.091666681,-0.036111119,1,0,0,targImage,,,,,,,2.111,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.120370359,-0.004629637,1,0,0,targImage,,,,,,,2.111,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.372222241,-0.032407415,1,0,0,targImage,,,,,,,2.111,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.303703695,-0.009259267,1,0,0,targImage,,,,,,,2.111,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.093518507,-0.027777786,1,0,0,targImage,,,,,,,1.8888,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.102777766,-0.021296304,1,0,0,targImage,,,,,,,1.4444,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.10185184,-0.0175926,1,0,0,targImage,,,,,,,1.2222,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.096296311,-0.032407415,1,0,0,targImage,,,,,,,2.9998,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.098148163,-0.040740749,1,0,0,targImage,,,,,,,1.8888,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.307407399,-0.020370378,1,0,0,targImage,,,,,,,1.6666,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.158333349,-7.4558E-09,1,0,0,targImage,,,,,,,1.4444,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.405555575,0.017592585,1,0,0,targImage,,,,,,,2.9998,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.171296312,-0.02222223,1,0,0,targImage,,,,,,,2.5554,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.336111103,-0.02685186,1,0,0,targImage,,,,,,,1.8888,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.106481496,-0.012037045,1,0,0,targImage,,,,,,,1.6666,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.11481483,-0.014814822,1,0,0,targImage,,,,,,,1.2222,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.324999992,0.001851844,1,0,0,targImage,,,,,,,1.2222,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.357407399,-0.010185193,1,0,0,targImage,,,,,,,2.9998,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.089814803,-0.035185193,1,0,0,targImage,,,,,,,2.7776,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.098148163,-0.005555563,1,0,0,targImage,,,,,,,2.3332,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.172222238,-0.033333341,1,0,0,targImage,,,,,,,2.7776,0.125,b,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.079629618,-0.023148156,1,0,0,targImage,,,,,,,1,-0.125,v,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.354629622,-0.0175926,1,0,0,targImage,,,,,,,1,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.347222214,-0.008333341,1,0,0,targImage,,,,,,,2.7776,-0.375,c,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.364814947,-0.002777785,1,0,0,targImage,,,,,,,2.5554,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.366666685,0.000925918,1,0,0,targImage,,,,,,,2.3332,0.375,n,eeee,001,2020-05-31_09h59.45.313,choiceRTT,3.1.3,60,1,0,40,27,1,39
