keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,2.6379,,,,,,,,1.3379,space,3.453,0,0,0,8,1,1.3,images/target_square.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
c,0,3.8968,,,,,,,,2.3968,space,2.4878,0,1,1,4,1,1.5,images/target_plus.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
b,1,2.1528,,,,,,,,0.8528,space,2.2899,0,2,2,1,1,1.3,images/target_plus.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
b,1,1.8911,,,,,,,,0.7911,space,0.9262,0,3,3,7,1,1.1,images/target_plus.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
c,1,2.8611,,,,,,,,1.5611,space,0.8537,0,4,4,3,1,1.3,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
c,1,2.4119,,,,,,,,0.9119,space,0.4843,0,5,5,6,1,1.5,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
v,1,1.8071,,,,,,,,0.7071,space,0.6284,0,6,6,5,1,1.1,images/target_square.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
v,1,3.1719,,,,,,,,1.6719,space,0.6321,0,7,7,2,1,1.5,images/target_square.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
c,1,2.1284,,,,,,,,1.0284,space,0.2622,0,8,8,0,1,1.1,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,,,,,
c,1,2.0826,,,,,,,,0.9826,,,,,,,,1.1,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,space,1.947,-0.242009132,-0.300608828,0,0,0,0,0,0,0,1
v,1,2.1876,,,,,,,,1.0876,,,,,,,,1.1,images/target_square.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,0,1,1,5,1
c,1,2.3727,,,,,,,,1.0727,,,,,,,,1.3,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,0,2,2,3,1
v,1,2.0224,,,,,,,,0.5224,,,,,,,,1.5,images/target_square.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,0,3,3,2,1
b,1,3.3769,,,,,,,,2.0769,,,,,,,,1.3,images/target_plus.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,0,4,4,1,1
b,1,1.9645,,,,,,,,0.4645,,,,,,,,1.5,images/target_plus.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,0,5,5,4,1
b,1,1.5387,,,,,,,,0.4387,,,,,,,,1.1,images/target_plus.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,0,6,6,7,1
v,1,2.6882,,,,,,,,1.3882,,,,,,,,1.3,images/target_square.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,0,7,7,8,1
c,1,2.2786,,,,,,,,0.7786,,,,,,,,1.5,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,0,8,8,6,1
b,1,2.1214,,,,,,,,1.0214,,,,,,,,1.1,images/target_plus.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,1,0,9,7,1
c,1,2.3741,,,,,,,,0.8741,,,,,,,,1.5,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,1,1,10,6,1
v,1,1.5933,,,,,,,,0.4933,,,,,,,,1.1,images/target_square.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,1,2,11,5,1
c,1,2.4267,,,,,,,,1.1267,,,,,,,,1.3,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,1,3,12,3,1
c,1,2.1219,,,,,,,,1.0219,,,,,,,,1.1,images/target_cross.jpg,fabizio,001,2023-04-07_12h20.02.894,choiceRTT,2021.2.3,Win32,57.71672631,,,,,,,,1,4,13,0,1
