response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.137037052,0.031481446,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,,,,,,
,0,0.417592612,-0.002777785,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,,,,,,
,0,-0.14074073,-0.015740748,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,,,,,,
,0,-0.339814807,-7.4558E-09,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,,,,,,
,0,-0.324074066,-0.020370378,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,,,,,,
,0,-0.168518508,-0.023148156,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,,,,,,
,0,0.081481496,-0.018518526,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,,,,,,
,0,0.369444576,-0.013888897,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,,,,,,
,0,0.323148279,-0.027777786,1,0,0,targImage,,,,,,,1.2222,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.339814807,-0.012962971,1,0,0,targImage,,,,,,,1.4444,-0.375,c,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.145370359,-0.029629638,1,0,0,targImage,,,,,,,2.7776,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.099074089,-0.034259267,1,0,0,targImage,,,,,,,2.7776,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.454629623,0.010185178,1,0,0,targImage,,,,,,,1,-0.375,c,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.098148136,-0.039814823,1,0,0,targImage,,,,,,,2.3332,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.088888877,-0.020370378,1,0,0,targImage,,,,,,,1.8888,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.295370362,-0.001851859,1,0,0,targImage,,,,,,,2.7776,-0.375,c,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.112962978,-0.020370378,1,0,0,targImage,,,,,,,1.8888,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.103703692,-0.027777786,1,0,0,targImage,,,,,,,2.111,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.397222354,-0.021296304,1,0,0,targImage,,,,,,,2.3332,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.08055557,-0.025925934,1,0,0,targImage,,,,,,,1.6666,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.120370359,-0.006481489,1,0,0,targImage,,,,,,,2.9998,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.12685184,-0.013888897,1,0,0,targImage,,,,,,,1.6666,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.095370385,-0.018518526,1,0,0,targImage,,,,,,,1.4444,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.104629644,-0.021296304,1,0,0,targImage,,,,,,,1.2222,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.393518511,0.004629622,1,0,0,targImage,,,,,,,2.9998,-0.375,c,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.117592608,-0.028703712,1,0,0,targImage,,,,,,,2.3332,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.47129643,-0.006481489,1,0,0,targImage,,,,,,,1.8888,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.452777911,-0.032407415,1,0,0,targImage,,,,,,,1.6666,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.098148163,-0.006481489,1,0,0,targImage,,,,,,,2.9998,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.408333353,-0.006481489,1,0,0,targImage,,,,,,,2.7776,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.393518511,0.01203703,1,0,0,targImage,,,,,,,1.6666,-0.375,c,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.135185174,-0.004629637,1,0,0,targImage,,,,,,,1.2222,-0.125,v,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.334259277,-0.021296304,1,0,0,targImage,,,,,,,1,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.286111102,0.042592586,1,0,0,targImage,,,,,,,1.8888,-0.375,c,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.369444576,-0.037037045,1,0,0,targImage,,,,,,,2.9998,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.07592594,-0.02222223,1,0,0,targImage,,,,,,,2.111,0.125,b,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.298148166,-0.019444452,1,0,0,targImage,,,,,,,2.111,0.375,n,fdfsd,001,2020-11-10_03h05.28.199,choiceRTT,3.1.3,60,1,0,40,23,1,39
