keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.048784701,-0.247222265,1,0,0,3.9206,square_button,1,2.6206,,0,0,0,8,1,1.3,images/target_square.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,,,,,,,,,,,,
,0,0.2296875,-0.233333333,1,0,0,3.0535,plus_button,1,1.9535,,0,1,1,7,1,1.1,images/target_plus.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,,,,,,,,,,,,
,0,-0.218923569,-0.253472265,1,0,0,3.1337,cross_button,1,2.0337,,0,2,2,0,1,1.1,images/target_cross.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,,,,,,,,,,,,
v,1,,,,,,,,,3.6383,,0,3,3,2,1,1.5,images/target_square.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,5.1383,,,,,,,,,,,
c,1,,,,,,,,,1.506,,0,4,4,6,1,1.5,images/target_cross.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,3.006,,,,,,,,,,,
b,1,,,,,,,,,1.7239,,0,5,5,1,1,1.3,images/target_plus.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,3.0239,,,,,,,,,,,
b,1,,,,,,,,,1.4083,,0,6,6,4,1,1.5,images/target_plus.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,2.9083,,,,,,,,,,,
c,1,,,,,,,,,1.1846,,0,7,7,3,1,1.3,images/target_cross.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,2.4846,,,,,,,,,,,
v,1,,,,,,,,,1.7295,,0,8,8,5,1,1.1,images/target_square.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,2.8295,,,,,,,,,,,
b,1,,,,,,,,,1.3113,,,,,,,1.3,images/target_plus.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,2.6113,,0.006386511,-0.250309023,1,0,0,0,0,0,1,1
v,1,,,,,,,,,2.0073,,,,,,,1.1,images/target_square.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,3.1073,,,,,,,0,1,1,5,1
b,1,,,,,,,,,1.6563,,,,,,,1.5,images/target_plus.jpg,fff,001,02/16/2023_17h31.54.601,choiceRTT,2021.2.3,Win32,164.8804617,3.1563,,,,,,,0,2,2,4,1
