response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.411440249,-0.024417679,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,,,,,,
,0,-0.378002025,-0.00797526,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,,,,,,
,0,-0.201942274,-0.00838397,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,,,,,,
,0,0.133506944,0.012094907,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,,,,,,
,0,-0.403725405,0.015563513,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,,,,,,
,0,0.151114005,0.008091001,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,,,,,,
,0,0.414673756,-0.005135995,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,,,,,,
,0,-0.131503183,0.025745081,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,,,,,,
,0,-0.103168403,-0.013096788,1,0,0,targImage,,,,,,,1,-0.125,v,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.117169416,-0.012897859,1,0,0,targImage,,,,,,,1.4444,-0.125,v,foobar,001,2020-11-20_11h35.27.637,choiceRTT,3.1.3,60,1,0,40,9,1,39
