participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,v,1,5.3993,,,,,,,,,3.8993,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,c,1,3.9469,,,,,,,,,2.4469,,0,1,1,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,b,1,3.5657,,,,,,,,,2.0657,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,v,1,2.1098,,,,,,,,,0.8098,,0,3,3,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,b,1,2.0713,,,,,,,,,0.7713,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,c,1,3.2483,,,,,,,,,2.1483,,0,5,5,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,b,1,1.9588,,,,,,,,,0.8588,,0,6,6,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,c,1,2.0665,,,,,,,,,0.7665,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
frefre,001,2023-12-02_16h27.42.991,choiceRTT,2023.1.3,Win32,60.11060351,v,1,1.9773,,,,,,,,,0.8773,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
