response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.128607582,-0.002278519,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,,,,,,
,0,-0.395949359,0.008860752,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,,,,,,
,0,-0.388860751,0.042278474,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,,,,,,
,0,0.118481029,-0.015443046,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,,,,,,
,0,0.298734196,-0.050886084,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,,,,,,
,0,-0.078987267,-0.038734185,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,,,,,,
,0,0.136708877,-0.019493679,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,,,,,,
,0,0.405063312,-0.003291147,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,,,,,,
,0,0.45772154,0.003797461,1,0,0,targImage,,,,,,,1.4444,0.375,n,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.41822784,0.016962018,1,0,0,targImage,,,,,,,2.111,-0.375,c,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.343291282,0.022025309,1,0,0,targImage,,,,,,,2.3332,0.375,n,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.147848118,-0.005316463,1,0,0,targImage,,,,,,,1.2222,0.125,b,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.113417709,-0.02455697,1,0,0,targImage,,,,,,,1.2222,-0.125,v,g,001,2021-03-25_18h04.52.587,choiceRTT,3.1.3,60,1,0,40,5,1,39
