response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.42422309,0.037556424,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,,,,,,
,0,0.107074653,-0.037734375,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,,,,,,
,0,0.131384549,-0.035677083,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,,,,,,
,0,-0.357161458,-0.014127604,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,,,,,,
,0,-0.357825521,-0.020403646,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,,,,,,
,0,-0.148198785,-0.038658854,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,,,,,,
,0,0.400603299,-0.03608941,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,,,,,,
,0,-0.120837674,-0.027591146,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,,,,,,
,0,0.086145833,-0.015008681,1,0,0,targImage,,,,,,,2.3332,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.12187934,-0.059973958,1,0,0,targImage,,,,,,,1.4444,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.309262153,-0.009518229,1,0,0,targImage,,,,,,,2.7776,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.336506076,-0.021193576,1,0,0,targImage,,,,,,,1.2222,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.391545139,-0.005277778,1,0,0,targImage,,,,,,,1.8888,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.171427951,-0.025512153,1,0,0,targImage,,,,,,,2.7776,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.368836806,-0.083641493,1,0,0,targImage,,,,,,,1,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.099296875,-0.022582465,1,0,0,targImage,,,,,,,1.6666,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.325299479,0.006449653,1,0,0,targImage,,,,,,,2.5554,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.110351563,-0.01328559,1,0,0,targImage,,,,,,,1.8888,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.444322917,-0.023007812,1,0,0,targImage,,,,,,,1.4444,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.341384549,-0.014335937,1,0,0,targImage,,,,,,,1.8888,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.106171875,-0.070881076,1,0,0,targImage,,,,,,,2.9998,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.067157118,0.014648438,1,0,0,targImage,,,,,,,1.2222,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.377595486,-0.03906684,1,0,0,targImage,,,,,,,1.2222,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.174366319,-0.030559896,1,0,0,targImage,,,,,,,1.2222,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.410260417,-0.062786458,1,0,0,targImage,,,,,,,2.5554,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.055924479,-0.041597222,1,0,0,targImage,,,,,,,2.111,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.355633681,-0.027947049,1,0,0,targImage,,,,,,,2.9998,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.098567708,-0.078324653,1,0,0,targImage,,,,,,,1.4444,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.338198785,-0.028541667,1,0,0,targImage,,,,,,,1.6666,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.341037326,-0.018116319,1,0,0,targImage,,,,,,,1.4444,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.094748264,-0.030611979,1,0,0,targImage,,,,,,,2.9998,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.174921875,-0.017282986,1,0,0,targImage,,,,,,,1.8888,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.3690625,-0.014327257,1,0,0,targImage,,,,,,,2.111,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.384470486,-0.057222222,1,0,0,targImage,,,,,,,2.3332,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.42483941,-0.039570313,1,0,0,targImage,,,,,,,2.9998,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.358315972,0.005164931,1,0,0,targImage,,,,,,,1.6666,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.340026042,-0.046063368,1,0,0,targImage,,,,,,,1,0.375,n,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.352256944,-0.013333333,1,0,0,targImage,,,,,,,2.3332,-0.375,c,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.074092882,-0.001228299,1,0,0,targImage,,,,,,,1,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.187851563,-0.016597222,1,0,0,targImage,,,,,,,2.7776,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.136497396,-0.058025174,1,0,0,targImage,,,,,,,1.6666,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.082022569,-0.0384375,1,0,0,targImage,,,,,,,2.111,0.125,b,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.095729167,0.003402778,1,0,0,targImage,,,,,,,2.3332,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.118216146,-0.045403646,1,0,0,targImage,,,,,,,2.5554,-0.125,v,gabi,001,2020-09-29_11h18.39.976,choiceRTT,3.1.3,60,1,0,40,29,1,39
