response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.130555556,-0.072222222,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,,,,,,
,0,0.3625,-0.055555556,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,,,,,,
,0,0.356944444,-0.041666667,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,,,,,,
,0,0.155555556,-0.051388889,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,,,,,,
,0,-0.356944444,-0.041666667,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,,,,,,
,0,-0.358333333,-0.040277778,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,,,,,,
,0,0.188888889,-0.0125,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,,,,,,
,0,-0.088888889,-0.008333333,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,,,,,,
,0,-0.119444444,-0.016666667,1,0,0,targImage,,,,,,,2.111,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.1,0.001388889,1,0,0,targImage,,,,,,,2.3332,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.294444444,-0.001388889,1,0,0,targImage,,,,,,,1,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.330555556,0,1,0,0,targImage,,,,,,,1.6666,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.080555556,-0.002777778,1,0,0,targImage,,,,,,,1.8888,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.281944444,-0.043055556,1,0,0,targImage,,,,,,,1.6666,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.031944444,-0.009722222,1,0,0,targImage,,,,,,,2.111,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.373611111,-0.001388889,1,0,0,targImage,,,,,,,2.9998,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.408333333,-0.025,1,0,0,targImage,,,,,,,2.3332,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.108333333,-0.008333333,1,0,0,targImage,,,,,,,1.8888,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.072222222,0.005555556,1,0,0,targImage,,,,,,,1.4444,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.123611111,0.0125,1,0,0,targImage,,,,,,,1,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.047222222,0.013888889,1,0,0,targImage,,,,,,,2.7776,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,0.354166667,0.030555556,1,0,0,targImage,,,,,,,1.2222,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.1,0.025,1,0,0,targImage,,,,,,,2.3332,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.297222222,0.015277778,1,0,0,targImage,,,,,,,1.2222,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.316666667,-0.038888889,1,0,0,targImage,,,,,,,2.3332,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.095833333,-0.0125,1,0,0,targImage,,,,,,,2.9998,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.065277778,-0.002777778,1,0,0,targImage,,,,,,,2.9998,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.288888889,-0.006944444,1,0,0,targImage,,,,,,,1.4444,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.083333333,0.011111111,1,0,0,targImage,,,,,,,1.6666,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.380555556,-0.002777778,1,0,0,targImage,,,,,,,2.111,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.315277778,0.013888889,1,0,0,targImage,,,,,,,1.8888,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.356944444,-0.027777778,1,0,0,targImage,,,,,,,2.111,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.426388889,0.026388889,1,0,0,targImage,,,,,,,1.4444,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.358333333,-0.006944444,1,0,0,targImage,,,,,,,2.5554,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.134722222,0.016666667,1,0,0,targImage,,,,,,,1.6666,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.295833333,-0.009722222,1,0,0,targImage,,,,,,,2.7776,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.048611111,0.011111111,1,0,0,targImage,,,,,,,2.5554,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.054166667,0.015277778,1,0,0,targImage,,,,,,,1,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.098611111,-0.0125,1,0,0,targImage,,,,,,,1.4444,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.319444444,-0.055555556,1,0,0,targImage,,,,,,,2.5554,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.063888889,0.008333333,1,0,0,targImage,,,,,,,1.2222,0.125,b,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.425,0.006944444,1,0,0,targImage,,,,,,,1.8888,-0.375,c,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.330555556,0.034722222,1,0,0,targImage,,,,,,,2.7776,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.191666667,-0.009722222,1,0,0,targImage,,,,,,,1.2222,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.129166667,0.004166667,1,0,0,targImage,,,,,,,2.7776,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.104166667,0.005555556,1,0,0,targImage,,,,,,,2.5554,-0.125,v,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.315277778,-0.027777778,1,0,0,targImage,,,,,,,1,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.343055556,-0.0125,1,0,0,targImage,,,,,,,2.9998,0.375,n,h,001,2020-04-11_14h07.00.103,choiceRTT,3.1.3,60,1,0,40,39,1,39
