participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,0,4.122,,,,,,,,,3.022,space,4.304,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,4.104,,,,,,,,,3.004,space,2.114,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.815,,,,,,,,,1.515,space,3.782,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,1,3.138,,,,,,,,,1.838,space,6.508,,0,3,3,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,1,4.37,,,,,,,,,2.87,space,4.211,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.565,,,,,,,,,1.265,space,1.536,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.254,,,,,,,,,0.754,v,0.747,,0,6,6,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.806,,,,,,,,,0.706,v,0.348,,0,7,7,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.613,,,,,,,,,1.113,space,0.708,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,space,5.516,,0.032804233,-0.207936508,0,0,0,,,,,
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,0,2.539,,,,,,,,,1.239,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,0,0,8,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.859,,,,,,,,,1.359,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,1,1,4,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.789,,,,,,,,,0.689,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,2,2,0,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.988,,,,,,,,,0.688,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,3,3,1,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.995,,,,,,,,,0.495,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,4,4,2,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.07,,,,,,,,,0.57,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,5,5,6,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,0,2.339,,,,,,,,,1.239,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,6,6,5,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,0,1.963,,,,,,,,,0.863,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,7,7,7,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.968,,,,,,,,,1.668,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,8,8,3,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.308,,,,,,,,,0.808,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,0,9,2,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.084,,,,,,,,,0.784,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,1,10,1,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.12,,,,,,,,,0.62,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,2,11,4,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.852,,,,,,,,,0.552,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,3,12,3,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.054,,,,,,,,,0.554,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,4,13,6,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.997,,,,,,,,,0.697,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,5,14,8,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.798,,,,,,,,,0.698,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,6,15,0,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.625,,,,,,,,,0.525,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,7,16,7,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.505,,,,,,,,,0.405,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,8,17,5,1
h,001,2023-10-24_22h36.55.332,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
