participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,b,1,2.221,,,,,,,,,0.721,v,4.476,,0,0,0,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,c,1,2.486,,,,,,,,,0.986,c,1.46,,0,1,1,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,v,1,2.465,,,,,,,,,0.965,c,0.721,,0,2,2,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,c,0,1.581,,,,,,,,,0.481,c,0.492,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,c,0,1.768,,,,,,,,,0.468,c,1.136,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,v,1,2.552,,,,,,,,,1.252,v,0.655,,0,5,5,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,c,1,2.088,,,,,,,,,0.988,c,0.987,,0,6,6,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,c,1,1.755,,,,,,,,,0.455,c,0.445,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,v,1,1.798,,,,,,,,,0.698,v,0.308,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,,,,,,,,,,,,,,,,,,,,,,,space,3.386,,-0.769888794,0.5,0,0,0,,,,,
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,c,0,2.234,,,,,,,,,1.134,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,0,0,7,1
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,v,1,2.915,,,,,,,,,1.815,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,1,1,5,1
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,v,1,3.381,,,,,,,,,1.881,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,2,2,2,1
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,c,1,28.653,,,,,,,,,27.153,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,3,3,6,1
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,b,1,2.415,,,,,,,,,1.115,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,4,4,1,1
hans,001,2024-02-12_09h36.15.657,choiceRTT,2023.1.3,MacIntel,120.1923077,c,1,1.93,,,,,,,,,0.83,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,5,5,0,1
