keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,4.0288,,,,,,,,2.7288,space,4.9829,0,0,0,8,1,1.3,images/target_square.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,0,3.2107,,,,,,,,1.7107,c,1.596,0,1,1,4,1,1.5,images/target_plus.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,4.7623,,,,,,,,3.6623,space,1.1446,0,2,2,0,1,1.1,images/target_cross.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,2.5787,,,,,,,,1.0787,space,2.4539,0,3,3,6,1,1.5,images/target_cross.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,2.9599,,,,,,,,1.4599,space,2.2697,0,4,4,2,1,1.5,images/target_square.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,0,2.9255,,,,,,,,1.8255,space,2.1506,0,5,5,7,1,1.1,images/target_plus.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,2.4124,,,,,,,,1.3124,space,0.6484,0,6,6,5,1,1.1,images/target_square.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,3.5291,,,,,,,,2.2291,space,0.9319,0,7,7,3,1,1.3,images/target_cross.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,2.9978,,,,,,,,1.6978,space,0.6229,0,8,8,1,1,1.3,images/target_plus.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,3.2111,,,,,,,,1.9111,,,,,,,,1.3,images/target_plus.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,space,3.0732,-0.089136285,0.056857639,0,0,0,0,0,0,1,1
b,1,2.852,,,,,,,,1.352,,,,,,,,1.5,images/target_plus.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,1,1,4,1
c,1,2.0605,,,,,,,,0.9605,,,,,,,,1.1,images/target_cross.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,2,2,0,1
c,0,1.8088,,,,,,,,0.7088,,,,,,,,1.1,images/target_plus.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,3,3,7,1
c,1,2.6611,,,,,,,,1.3611,,,,,,,,1.3,images/target_cross.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,4,4,3,1
v,1,2.2367,,,,,,,,0.7367,,,,,,,,1.5,images/target_square.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,5,5,2,1
c,1,3.9594,,,,,,,,2.4594,,,,,,,,1.5,images/target_cross.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,6,6,6,1
v,1,2.1078,,,,,,,,1.0078,,,,,,,,1.1,images/target_square.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,7,7,5,1
v,1,2.3611,,,,,,,,1.0611,,,,,,,,1.3,images/target_square.jpg,heath,001,2023-02-11_14h21.46.032,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,8,8,8,1
