response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.336970486,0.004917535,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,,,,,,
,0,0.151779514,-0.029856771,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,,,,,,
,0,0.399040799,-0.011106771,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,,,,,,
,0,-0.321684028,-0.015429688,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,,,,,,
,0,0.343064236,-0.006210938,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,,,,,,
,0,-0.113554688,-0.000976563,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,,,,,,
,0,-0.060486111,-0.013203125,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,,,,,,
,0,0.095347222,-0.007960069,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,,,,,,
,0,0.350568576,0.004822049,1,0,0,targImage,,,,,,,2.7776,0.375,n,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.07453559,-0.016375868,1,0,0,targImage,,,,,,,1.6666,0.125,b,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.100104167,-0.015572917,1,0,0,targImage,,,,,,,1.6666,-0.125,v,hi,001,2021-12-02_15h20.16.111,choiceRTT,3.1.3,60,1,0,40,13,1,39
