keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,31.2329,,,,,,,,29.9329,space,58.7274,0,0,0,1,1,1.3,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
v,1,2.2775,,,,,,,,1.1775,space,2.9978,0,1,1,5,1,1.1,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
v,1,2.3699,,,,,,,,1.0699,space,10.1603,0,2,2,8,1,1.3,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
b,1,2.1128,,,,,,,,1.0128,space,3.0094,0,3,3,7,1,1.1,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
b,1,2.0922,,,,,,,,0.5922,space,2.1807,0,4,4,4,1,1.5,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
c,1,2.4091,,,,,,,,0.9091,space,4.5692,0,5,5,6,1,1.5,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
c,1,1.9016,,,,,,,,0.8016,space,9.4199,0,6,6,0,1,1.1,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
c,1,1.8905,,,,,,,,0.5905,space,77.6701,0,7,7,3,1,1.3,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
v,1,2.122,,,,,,,,0.622,space,1.4531,0,8,8,2,1,1.5,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,,,,,
v,1,1.8242,,,,,,,,0.7242,,,,,,,,1.1,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,0.061197917,-0.263020833,1,0,0,0,0,0,5,1
v,0,2.2117,,,,,,,,0.7117,,,,,,,,1.5,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,0,1,1,6,1
c,1,1.9733,,,,,,,,0.8733,,,,,,,,1.1,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,0,2,2,0,1
v,0,1.9739,,,,,,,,0.6739,,,,,,,,1.3,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,0,3,3,1,1
v,0,2.2585,,,,,,,,0.7585,,,,,,,,1.5,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,0,4,4,4,1
c,1,2.0446,,,,,,,,0.7446,,,,,,,,1.3,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,0,5,5,3,1
v,1,2.2724,,,,,,,,0.7724,,,,,,,,1.5,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,0,6,6,2,1
v,1,2.0394,,,,,,,,0.7394,,,,,,,,1.3,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,0,7,7,8,1
b,1,1.7995,,,,,,,,0.6995,,,,,,,,1.1,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,0,8,8,7,1
b,0,0.2534,,,,,,,,-1.2466,,,,,,,,1.5,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,0,9,2,1
v,1,2.1201,,,,,,,,0.8201,,,,,,,,1.3,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,1,10,8,1
c,1,1.9866,,,,,,,,0.6866,,,,,,,,1.3,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,2,11,3,1
v,1,1.7947,,,,,,,,0.6947,,,,,,,,1.1,images/target_square.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,3,12,5,1
c,1,2.1162,,,,,,,,1.0162,,,,,,,,1.1,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,4,13,0,1
b,1,2.2281,,,,,,,,0.7281,,,,,,,,1.5,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,5,14,4,1
c,1,2.3399,,,,,,,,0.8399,,,,,,,,1.5,images/target_cross.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,6,15,6,1
b,1,2.1859,,,,,,,,0.8859,,,,,,,,1.3,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,7,16,1,1
b,1,1.7079,,,,,,,,0.6079,,,,,,,,1.1,images/target_plus.jpg,hihi,001,2022-11-12_19h57.00.083,choiceRTT,2021.2.3,Win32,60.24459305,,,,,,,1,8,17,7,1
