participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,c,0,5.8187,,,,,,,,,4.3187,space,3.2916,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,c,1,2.8195,,,,,,,,,1.5195,space,2.9073,,0,1,1,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,b,1,3.0405,,,,,,,,,1.7405,space,3.0575,,0,2,2,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,v,1,2.1277,,,,,,,,,1.0277,space,1.1344,,0,3,3,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,c,1,2.3029,,,,,,,,,0.8029,space,0.9854,,0,4,4,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,b,1,1.8902,,,,,,,,,0.7902,space,0.8039,,0,5,5,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,c,1,1.8866,,,,,,,,,0.7866,space,0.743,,0,6,6,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,v,1,2.4266,,,,,,,,,1.1266,space,0.8009,,0,7,7,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,b,1,2.2869,,,,,,,,,0.7869,space,1.3963,,0,8,8,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,space,7.5647,,-0.06759255,-0.037037037,0,0,0,,,,,
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,v,1,2.5711,,,,,,,,,1.4711,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,0,0,5,1
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,c,1,1.7906,,,,,,,,,0.6906,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,1,1,0,1
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,c,1,2.4311,,,,,,,,,0.9311,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,2,2,6,1
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,v,1,2.4454,,,,,,,,,0.9454,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,3,3,2,1
hjjk,001,2023-12-25_17h46.05.581,choiceRTT,2023.1.3,Win32,60.24096386,b,1,1.8577,,,,,,,,,0.7577,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,4,4,7,1
