participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,b,1,2.4067,,,,,,,,,1.3067,space,3.3648,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,v,1,2.3916,,,,,,,,,0.8916,space,1.7083,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,c,1,2.2209,,,,,,,,,0.7209,space,3.3786,,0,2,2,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,c,1,2.1293,,,,,,,,,1.0293,space,0.987,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,c,1,1.9275,,,,,,,,,0.6275,space,0.8176,,0,4,4,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,b,1,2.1771,,,,,,,,,0.6771,space,1.8906,,0,5,5,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,v,1,1.808,,,,,,,,,0.508,space,0.9328,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,b,1,2.5239,,,,,,,,,1.2239,space,7.0761,,0,7,7,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,v,1,2.3613,,,,,,,,,1.2613,space,1.0684,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,space,16.3185,,-0.167592578,-0.281481496,0,0,0,,,,,
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,v,1,2.7433,,,,,,,,,1.4433,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,0,0,8,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,b,1,2.0295,,,,,,,,,0.7295,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,1,1,1,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,c,1,2.1059,,,,,,,,,0.8059,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,2,2,3,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,b,1,2.6228,,,,,,,,,1.1228,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,3,3,4,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,v,1,1.8715,,,,,,,,,0.7715,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,4,4,5,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,c,1,2.1613,,,,,,,,,0.6613,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,5,5,6,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,v,0,1.8392,,,,,,,,,0.7392,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,6,6,0,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,b,1,1.8216,,,,,,,,,0.7216,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,7,7,7,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,v,1,2.0898,,,,,,,,,0.5898,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,8,8,2,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,b,1,2.0616,,,,,,,,,0.7616,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,0,9,1,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,c,1,2.077,,,,,,,,,0.577,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,1,10,6,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,v,1,2.0072,,,,,,,,,0.7072,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,2,11,8,1
hjjksx,001,2024-01-13_16h00.13.153,choiceRTT,2023.1.3,Win32,60.60606061,b,1,1.7908,,,,,,,,,0.6908,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,3,12,7,1
