response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.13,-0.006666667,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,,,,,,
,0,0.394444444,-0.044444444,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,,,,,,
,0,-0.111111111,-0.027777778,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,,,,,,
,0,-0.12,-0.006666667,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,,,,,,
,0,-0.317777778,0.001111111,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,,,,,,
,0,0.068888889,0.031111111,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,,,,,,
,0,-0.423333333,0.045555556,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,,,,,,
,0,0.297777778,-0.007777778,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,,,,,,
,0,0.107777778,-0.013333333,1,0,0,targImage,,,,,,,1.2222,0.125,b,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.323333333,0.021111111,1,0,0,targImage,,,,,,,1.6666,0.375,n,hola,001,2021-05-06_09h51.07.834,choiceRTT,3.1.3,60,1,0,40,15,1,39
