response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.115625,-0.0375,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,,,,,,
,0,-0.15875,-0.03375,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,,,,,,
,0,0.06375,-0.01625,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,,,,,,
,0,-0.333125,0.009375,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,,,,,,
,0,-0.3825,-0.034375,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,,,,,,
,0,0.418125,-0.005,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,,,,,,
,0,-0.125,0.015,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,,,,,,
,0,0.325625,-0.014375,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,,,,,,
,0,-0.38625,-0.00625,1,0,0,targImage,,,,,,,2.7776,-0.375,c,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.29875,-0.00375,1,0,0,targImage,,,,,,,2.3332,-0.375,c,iuyiy,001,2020-06-24_17h30.23.111,choiceRTT,3.1.3,60,1,0,40,24,1,39
