response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.312962963,-0.001851852,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,,,,,,
,0,-0.337037037,-0.008333333,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,,,,,,
,0,-0.147222222,0.012037037,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,,,,,,
,0,0.375925926,-0.015740741,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,,,,,,
,0,-0.427777778,0.059259259,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,,,,,,
,0,0.083333333,-0.046296296,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,,,,,,
,0,-0.15,0.008333333,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,,,,,,
,0,0.142592593,-0.037037037,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,,,,,,
,0,0.417592593,0.039814815,1,0,0,targImage,,,,,,,2.7776,0.375,n,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.334259259,-0.050925926,1,0,0,targImage,,,,,,,2.3332,0.375,n,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.107407407,-0.074074074,1,0,0,targImage,,,,,,,2.5554,0.125,b,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.118518519,-0.012037037,1,0,0,targImage,,,,,,,1.4444,-0.125,v,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.42962963,-0.018518519,1,0,0,targImage,,,,,,,1,0.375,n,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.117592593,-0.00462963,1,0,0,targImage,,,,,,,1.6666,-0.125,v,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.108333333,-0.006481481,1,0,0,targImage,,,,,,,1,-0.125,v,ivan866,001,2020-09-30_15h55.53.256,choiceRTT,3.1.3,60,1,0,40,1,1,39
