response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.13272999,-0.019859241,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,,,,,,
,0,0.36299652,0.070638468,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,,,,,,
,0,0.113624969,-0.041980911,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,,,,,,
,0,-0.116641503,0.046505738,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,,,,,,
,0,-0.326797367,0.008295611,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,,,,,,
,0,-0.332830549,0.020361977,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,,,,,,
,0,0.441427895,0.020361977,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,,,,,,
,0,0.09250883,-0.018853711,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,,,,,,
,0,-0.097536363,0.009301142,1,0,0,targImage,,,,,,,2.111,-0.125,v,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.123680216,0.02840619,1,0,0,targImage,,,,,,,1,-0.125,v,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.076420343,-0.010809498,1,0,0,targImage,,,,,,,2.7776,0.125,b,j,001,2020-10-28_15h27.21.552,choiceRTT,3.1.3,60,1,0,40,34,1,39
