response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.132826968,-0.00375434,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,,,,,,
,0,0.314731626,0.003023727,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,,,,,,
,0,-0.460590278,-0.006409144,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,,,,,,
,0,-0.148940249,-0.011888744,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,,,,,,
,0,-0.106174045,-0.004720052,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,,,,,,
,0,0.114623119,0.001258681,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,,,,,,
,0,-0.356893808,-0.011223235,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,,,,,,
,0,0.42677228,-0.00943287,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,,,,,,
,0,-0.111393229,0.039630353,1,0,0,targImage,,,,,,,2.111,-0.125,v,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.179846644,-0.021003328,1,0,0,targImage,,,,,,,1.6666,0.125,b,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.361053241,-0.021003328,1,0,0,targImage,,,,,,,2.111,0.375,n,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.155392795,-0.010177951,1,0,0,targImage,,,,,,,2.9998,-0.125,v,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.151341869,-0.008138021,1,0,0,targImage,,,,,,,1.2222,-0.125,v,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.151341869,-0.008138021,1,0,0,targImage,,,,,,,1,-0.125,v,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.10921224,-0.012044271,1,0,0,targImage,,,,,,,1.8888,0.125,b,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.337948495,-0.009143519,1,0,0,targImage,,,,,,,1.8888,-0.375,c,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.36833044,0.012409578,1,0,0,targImage,,,,,,,2.9998,-0.375,c,j,001,2021-05-12_09h48.40.360,choiceRTT,3.1.3,60,1,0,40,36,1,39
