keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,2.4201,,,,,,,,0.9201,space,8.9765,0,0,0,6,1,1.5,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
b,1,4.3405,,,,,,,,3.0405,space,5.6932,0,1,1,1,1,1.3,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
c,1,2.9101,,,,,,,,1.6101,space,2.4403,0,2,2,3,1,1.3,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
b,0,2.7153,,,,,,,,1.6153,,,0,3,3,5,1,1.1,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
b,1,1.9906,,,,,,,,0.8906,space,5.2764,0,4,4,7,1,1.1,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
v,1,3.0342,,,,,,,,1.5342,space,2.1049,0,5,5,2,1,1.5,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
c,0,2.5666,,,,,,,,1.0666,space,2.1231,0,6,6,4,1,1.5,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
v,1,2.2025,,,,,,,,0.9025,space,1.7259,0,7,7,8,1,1.3,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
c,1,2.0745,,,,,,,,0.9745,space,1.6054,0,8,8,0,1,1.1,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,,,,,
c,1,2.709,,,,,,,,1.409,,,,,,,,1.3,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,space,2.301,0.073584747,-0.096021767,0,0,0,0,0,0,3,1
c,1,2.6261,,,,,,,,1.1261,,,,,,,,1.5,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,0,1,1,6,1
b,1,2.1485,,,,,,,,0.6485,,,,,,,,1.5,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,0,2,2,4,1
v,1,2.0342,,,,,,,,0.9342,,,,,,,,1.1,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,0,3,3,5,1
c,0,2.338,,,,,,,,1.038,,,,,,,,1.3,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,0,4,4,1,1
b,1,1.696,,,,,,,,0.596,,,,,,,,1.1,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,0,5,5,7,1
c,1,1.7871,,,,,,,,0.6871,,,,,,,,1.1,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,0,6,6,0,1
b,0,2.3798,,,,,,,,0.8798,,,,,,,,1.5,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,0,7,7,2,1
v,1,2.1032,,,,,,,,0.8032,,,,,,,,1.3,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,0,8,8,8,1
c,0,2.2654,,,,,,,,0.7654,,,,,,,,1.5,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,0,9,4,1
c,1,1.9362,,,,,,,,0.6362,,,,,,,,1.3,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,1,10,3,1
v,1,1.9802,,,,,,,,0.6802,,,,,,,,1.3,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,2,11,8,1
b,0,2.4988,,,,,,,,0.9988,,,,,,,,1.5,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,3,12,2,1
c,1,2.7727,,,,,,,,1.6727,,,,,,,,1.1,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,4,13,0,1
c,1,2.151,,,,,,,,0.651,,,,,,,,1.5,images/target_cross.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,5,14,6,1
v,0,1.864,,,,,,,,0.764,,,,,,,,1.1,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,6,15,7,1
b,1,2.2312,,,,,,,,0.9312,,,,,,,,1.3,images/target_plus.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,7,16,1,1
v,1,1.8552,,,,,,,,0.7552,,,,,,,,1.1,images/target_square.jpg,j,001,2022-09-05_19h50.31.934,choiceRTT,2021.2.3,MacIntel,59.84082341,,,,,,,,1,8,17,5,1
