participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,0,2.8411,,,,,,,,,1.7411,space,6.5122,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,2.4331,,,,,,,,,0.9331,space,3.1565,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,2.2721,,,,,,,,,1.1721,space,1.1135,,0,2,2,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,2.5672,,,,,,,,,1.2672,space,0.8547,,0,3,3,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,b,1,2.1518,,,,,,,,,0.6518,space,0.9975,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,b,1,2.651,,,,,,,,,1.351,space,0.4732,,0,5,5,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,1.9281,,,,,,,,,0.6281,space,0.3856,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,1.714,,,,,,,,,0.614,space,0.3953,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,2.251,,,,,,,,,0.751,space,0.2998,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,,0.061957254,-0.262835884,1,0,0,,,,,
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,2.2166,,,,,,,,,1.1166,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,0,0,0,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,b,1,1.9428,,,,,,,,,0.6428,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,1,1,1,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,1.7198,,,,,,,,,0.6198,,,,,,,,,1.1,images/target_square.jpg,,,,,,,0,2,2,5,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,2.6655,,,,,,,,,1.1655,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,3,3,6,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,2.1705,,,,,,,,,0.6705,,,,,,,,,1.5,images/target_square.jpg,,,,,,,0,4,4,2,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,2.1776,,,,,,,,,0.8776,,,,,,,,,1.3,images/target_square.jpg,,,,,,,0,5,5,8,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,b,1,1.7564,,,,,,,,,0.6564,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,6,6,7,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,2.1999,,,,,,,,,0.8999,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,7,7,3,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,b,1,2.0873,,,,,,,,,0.5873,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,8,8,4,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,2.1305,,,,,,,,,0.6305,,,,,,,,,1.5,images/target_square.jpg,,,,,,,1,0,9,2,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,2.5735,,,,,,,,,1.0735,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,1,1,10,6,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,1.9104,,,,,,,,,0.6104,,,,,,,,,1.3,images/target_square.jpg,,,,,,,1,2,11,8,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,v,1,1.7083,,,,,,,,,0.6083,,,,,,,,,1.1,images/target_square.jpg,,,,,,,1,3,12,5,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,1.9333,,,,,,,,,0.6333,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,1,4,13,3,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,b,1,2.0527,,,,,,,,,0.5527,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,1,5,14,4,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,c,1,1.8218,,,,,,,,,0.7218,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,1,6,15,0,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,b,1,1.9938,,,,,,,,,0.6938,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,1,7,16,1,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,b,1,1.7046,,,,,,,,,0.6046,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,1,8,17,7,1
j,001,2024-02-14_15h44.54.526,choiceRTT,2023.1.3,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
