keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,6.7892,,,,,,,,5.6892,,0,0,0,0,1,1.1,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,,,,,,,,,,,,,,
v,0,2.4556,,,,,,,,1.3556,,0,1,1,7,1,1.1,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,,,,,,,,,,,,,,
,0,,-0.496296268,0.073148134,1,0,0,2.1878,cross_button,0.8878,,0,2,2,1,1,1.3,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,0,,,,,,,,,,,,,
,0,,-0.124074046,-0.172222222,1,0,0,0.1332,square_button,-1.3668,,0,3,3,2,1,1.5,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,,,,,
,0,,-0.185185157,-0.226851908,1,0,0,3.7385,cross_button,2.2385,space,0,4,4,4,1,1.5,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,0,3.416,,,,,,,,,,,,
,0,,-0.233333333,-0.225,1,0,0,2.6189,cross_button,1.3189,space,0,5,5,3,1,1.3,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,3.7976,,,,,,,,,,,,
,0,,-0.062036981,-0.263888889,1,0,0,5.2039,square_button,3.9039,,0,6,6,8,1,1.3,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,,,,,
,0,,-0.235185157,-0.25648151,1,0,0,3.2579,cross_button,1.7579,space,0,7,7,6,1,1.5,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,1.4743,,,,,,,,,,,,
,0,,-0.036111111,-0.227777778,1,0,0,3.7008,square_button,2.6008,space,0,8,8,5,1,1.1,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,1.266,,,,,,,,,,,,
,0,,-0.198148134,-0.255555556,1,0,0,4.7164,cross_button,3.6164,,,,,,,1.1,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,space,4.3165,-0.025925869,-0.279629686,0,0,0,0,0,0,0,1
,0,,-0.198148134,-0.255555556,1,0,0,2.2593,cross_button,0.9593,,,,,,,1.3,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,0,1,1,3,1
,0,,0.201851908,-0.242592621,1,0,0,3.5556,plus_button,2.2556,,,,,,,1.3,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,0,2,2,1,1
,0,,-0.030555556,-0.298148176,1,0,0,2.2972,square_button,1.1972,,,,,,,1.1,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,0,3,3,5,1
,0,,0.189814843,-0.277777778,1,0,0,2.5183,plus_button,1.4183,,,,,,,1.1,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,0,4,4,7,1
,0,,-0.046296268,-0.269444444,1,0,0,2.5454,square_button,1.0454,,,,,,,1.5,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,0,5,5,2,1
,0,,0.276851908,-0.260185242,1,0,0,4.2558,plus_button,2.7558,,,,,,,1.5,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,0,6,6,4,1
,0,,-0.035185157,-0.278703732,1,0,0,2.753,square_button,1.453,,,,,,,1.3,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,0,7,7,8,1
,0,,-0.345370356,-0.229629686,1,0,0,4.6937,cross_button,3.1937,,,,,,,1.5,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,0,8,8,6,1
,0,,-0.067592536,-0.239814843,1,0,0,2.7435,square_button,1.4435,,,,,,,1.3,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,0,9,8,1
,0,,0.160185242,-0.260185242,1,0,0,2.6435,plus_button,1.5435,,,,,,,1.1,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,1,10,7,1
,0,,0.211111111,-0.290740797,1,0,0,3.7528,plus_button,2.2528,,,,,,,1.5,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,2,11,4,1
,0,,0.237037065,-0.229629686,1,0,0,3.8563,plus_button,2.5563,,,,,,,1.3,images/target_plus.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,3,12,1,1
,0,,-0.257407379,-0.214814843,1,0,0,3.0284,cross_button,1.5284,,,,,,,1.5,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,4,13,6,1
,0,,-0.019444444,-0.227777778,1,0,0,2.2381,square_button,1.1381,,,,,,,1.1,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,5,14,5,1
,0,,-0.274074046,-0.226851908,1,0,0,2.589,cross_button,1.289,,,,,,,1.3,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,6,15,3,1
,0,,-0.257407379,-0.227777778,1,0,0,2.3767,cross_button,1.2767,,,,,,,1.1,images/target_cross.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,7,16,0,1
,0,,-0.004629601,-0.270370399,1,0,0,2.4008,square_button,0.9008,,,,,,,1.5,images/target_square.jpg,janet,001,2022-06-07_14h06.15.458,choiceRTT,2021.2.3,Win32,58.3294447,1,,,,,,,,,1,8,17,2,1
