response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.351851836,-0.015740756,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,,,,,,
,0,-0.125925847,-0.037962979,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,,,,,,
,0,0.12500003,-0.034259275,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,,,,,,
,0,-0.055555531,0.011111097,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,,,,,,
,0,0.436111151,0.007407393,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,,,,,,
,0,0.180555587,-0.042592609,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,,,,,,
,0,0.425000039,-1.4912E-08,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,,,,,,
,0,-0.318518502,0.082407367,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,,,,,,
,0,0.113888919,-0.036111127,1,0,0,targImage,,,,,,,1,0.125,b,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.365740725,-0.022222238,1,0,0,targImage,,,,,,,2.111,-0.375,c,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.149074052,-0.023148164,1,0,0,targImage,,,,,,,2.3332,-0.125,v,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.085185214,-0.009259274,1,0,0,targImage,,,,,,,2.3332,0.125,b,jb,001,2021-10-02_01h37.10.160,choiceRTT,3.1.3,60,1,0,40,26,1,39
