keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,3.7988,,,,,,,,2.6988,b,4.3016,0,0,0,5,1,1.1,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
b,1,2.5923,,,,,,,,1.2923,,,0,1,1,1,1,1.3,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
c,1,2.1092,,,,,,,,1.0092,space,1.2369,0,2,2,0,1,1.1,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
v,0,1.9654,,,,,,,,0.4654,space,1.1258,0,3,3,6,1,1.5,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
b,1,2.108,,,,,,,,0.608,space,1.5865,0,4,4,4,1,1.5,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
b,1,1.6498,,,,,,,,0.5498,space,0.6806,0,5,5,7,1,1.1,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
v,1,2.2731,,,,,,,,0.9731,space,0.6366,0,6,6,8,1,1.3,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
c,1,2.4844,,,,,,,,1.1844,space,0.7021,0,7,7,3,1,1.3,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
v,1,2.3113,,,,,,,,0.8113,space,0.4065,0,8,8,2,1,1.5,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,,,,,
c,1,2.0765,,,,,,,,0.7765,,,,,,,,1.3,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,0.002525628,-0.284234458,1,0,0,0,0,0,3,1
v,1,1.8393,,,,,,,,0.7393,,,,,,,,1.1,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,0,1,1,5,1
v,1,2.5291,,,,,,,,1.0291,,,,,,,,1.5,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,0,2,2,2,1
b,1,1.8371,,,,,,,,0.7371,,,,,,,,1.1,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,0,3,3,7,1
c,1,2.3987,,,,,,,,0.8987,,,,,,,,1.5,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,0,4,4,6,1
c,0,1.8051,,,,,,,,0.5051,,,,,,,,1.3,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,0,5,5,1,1
b,1,2.4953,,,,,,,,0.9953,,,,,,,,1.5,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,0,6,6,4,1
c,1,1.83,,,,,,,,0.73,,,,,,,,1.1,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,0,7,7,0,1
v,1,1.8961,,,,,,,,0.5961,,,,,,,,1.3,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,0,8,8,8,1
c,1,2.2569,,,,,,,,0.9569,,,,,,,,1.3,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,0,9,3,1
v,1,1.7442,,,,,,,,0.6442,,,,,,,,1.1,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,1,10,5,1
c,1,2.3145,,,,,,,,0.8145,,,,,,,,1.5,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,2,11,6,1
b,1,1.4849,,,,,,,,0.3849,,,,,,,,1.1,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,3,12,7,1
v,1,1.8939,,,,,,,,0.5939,,,,,,,,1.3,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,4,13,8,1
c,1,1.8986,,,,,,,,0.7986,,,,,,,,1.1,images/target_cross.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,5,14,0,1
b,1,1.9798,,,,,,,,0.6798,,,,,,,,1.3,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,6,15,1,1
b,1,2.5024,,,,,,,,1.0024,,,,,,,,1.5,images/target_plus.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,7,16,4,1
v,1,2.1405,,,,,,,,0.6405,,,,,,,,1.5,images/target_square.jpg,jeff,001,2022-09-21_09h28.21.188,choiceRTT,2021.2.3,MacIntel,120.0048002,,,,,,,1,8,17,2,1
