participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,c,1,2.5806,,,,,,,,,1.2806,space,4.9067,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,v,1,4.4643,,,,,,,,,2.9643,space,1.6635,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,c,1,3.6439,,,,,,,,,2.1439,space,0.9678,,0,2,2,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,c,0,2.4639,,,,,,,,,0.9639,space,4.1367,,0,3,3,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,v,1,3.7799,,,,,,,,,2.6799,space,1.4461,,0,4,4,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,b,1,2.1088,,,,,,,,,0.8088,space,0.8784,,0,5,5,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,c,0,1.7419,,,,,,,,,0.4419,space,2.0333,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,b,1,2.5441,,,,,,,,,1.4441,space,1.1665,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,b,0,1.9603,,,,,,,,,0.8603,space,0.7198,,0,8,8,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,space,3.0073,,-0.186588542,-0.324628906,0,0,0,,,,,
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,c,0,2.2198,,,,,,,,,0.9198,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,0,0,8,1
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,c,1,2.5064,,,,,,,,,1.0064,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,1,1,6,1
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,b,1,2.6469,,,,,,,,,1.1469,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,2,2,4,1
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,c,1,2.4738,,,,,,,,,1.1738,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,3,3,3,1
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,b,1,2.8231,,,,,,,,,1.5231,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,4,4,1,1
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,v,1,1.9732,,,,,,,,,0.4732,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,5,5,2,1
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,v,1,1.607,,,,,,,,,0.507,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,6,6,5,1
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,c,1,2.4115,,,,,,,,,1.3115,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,7,7,0,1
jh,001,2023-07-26_13h31.35.472,choiceRTT,2023.1.3,MacIntel,59.95203837,b,1,2.2733,,,,,,,,,1.1733,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,8,8,7,1
