response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.322587435,0.025874186,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,,,,,,
,0,0.303985969,0.021678339,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,,,,,,
,0,-0.080629402,0.017482535,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,,,,,,
,0,-0.296014095,0.046853163,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,,,,,,
,0,0.095594368,0.024475541,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,,,,,,
,0,0.403286665,0.017482535,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,,,,,,
,0,-0.063846186,0.021678339,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,,,,,,
,0,0.131958003,0.020279737,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,,,,,,
,0,0.117971904,0.017482535,1,0,0,targImage,,,,,,,1.8888,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.095594368,0.018881136,1,0,0,targImage,,,,,,,2.3332,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.05685335,0.021678339,1,0,0,targImage,,,,,,,1.2222,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.05825178,0.021678339,1,0,0,targImage,,,,,,,2.5554,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.350139813,-0.009090891,1,0,0,targImage,,,,,,,2.5554,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.316573381,0.007692325,1,0,0,targImage,,,,,,,1.2222,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.144965064,0.006293724,1,0,0,targImage,,,,,,,2.3332,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.393916104,0.02307694,1,0,0,targImage,,,,,,,2.9998,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.116573388,-0.016083898,1,0,0,targImage,,,,,,,2.9998,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.398111908,0.035664352,1,0,0,targImage,,,,,,,1.6666,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.424685334,-0.0034964,1,0,0,targImage,,,,,,,2.5554,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.17153849,-0.009090891,1,0,0,targImage,,,,,,,1,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.095594368,0.00209792,1,0,0,targImage,,,,,,,2.7776,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.356153868,-0.002097884,1,0,0,targImage,,,,,,,1.2222,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.11000003,-0.00769229,1,0,0,targImage,,,,,,,2.111,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.354755266,0.024475541,1,0,0,targImage,,,,,,,2.111,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.381328692,0.025874186,1,0,0,targImage,,,,,,,1,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.156153875,0.014685332,1,0,0,targImage,,,,,,,1.6666,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.324964989,-0.006293688,1,0,0,targImage,,,,,,,1,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.15993003,0.004895123,1,0,0,targImage,,,,,,,1.6666,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.36874128,0.035664352,1,0,0,targImage,,,,,,,2.7776,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.372517435,-0.03426563,1,0,0,targImage,,,,,,,1.8888,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.204685102,-0.004895044,1,0,0,targImage,,,,,,,2.5554,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.406083867,0.016083933,1,0,0,targImage,,,,,,,2.111,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.358531422,0.007692325,1,0,0,targImage,,,,,,,2.7776,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.310000023,-0.004895044,1,0,0,targImage,,,,,,,1.8888,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.424265685,-0.05244749,1,0,0,targImage,,,,,,,1.6666,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.390699253,-0.009090891,1,0,0,targImage,,,,,,,2.3332,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.390699253,-0.009090891,1,0,0,targImage,,,,,,,2.9998,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.08902101,0.02307694,1,0,0,targImage,,,,,,,2.9998,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.118391809,0.011888215,1,0,0,targImage,,,,,,,2.7776,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.364125656,-0.031468512,1,0,0,targImage,,,,,,,1.4444,0.375,n,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.141748212,0.006293724,1,0,0,targImage,,,,,,,1.2222,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.147342618,0.006293724,1,0,0,targImage,,,,,,,1.4444,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.128181848,0.017482535,1,0,0,targImage,,,,,,,1.4444,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.405105,0.010489571,1,0,0,targImage,,,,,,,2.3332,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.142167861,-0.009090891,1,0,0,targImage,,,,,,,1.8888,-0.125,v,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.131958003,0.007692325,1,0,0,targImage,,,,,,,2.111,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.127762028,0.007692325,1,0,0,targImage,,,,,,,1,0.125,b,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.370139881,0.025874186,1,0,0,targImage,,,,,,,1.4444,-0.375,c,joao,001,2020-07-31_15h27.14.454,choiceRTT,3.1.3,60,1,0,40,8,1,39
