response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.367129614,0.057870357,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,,,,,,
,0,0.06435188,0.068055543,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,,,,,,
,0,0.350925963,-0.032870386,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,,,,,,
,0,-0.091666643,0.018518504,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,,,,,,
,0,0.106018548,0.00694443,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,,,,,,
,0,-0.133796274,0.052314801,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,,,,,,
,0,0.409259298,0.040277764,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,,,,,,
,0,-0.414814801,0.063888876,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,,,,,,
,0,-0.342129613,0.070833321,1,0,0,targImage,,,,,,,2.7776,-0.375,c,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.428703743,0.016666652,1,0,0,targImage,,,,,,,2.111,0.375,n,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.218518552,0.015277763,1,0,0,targImage,,,,,,,1.6666,0.125,b,joe,001,2020-06-04_18h33.21.614,choiceRTT,3.1.3,60,1,0,40,14,1,39
