participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,v,0,2.809,,,,,,,,,1.709,v,7.482,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,c,1,3.29,,,,,,,,,1.99,b,5.765,,0,1,1,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,v,1,2.526,,,,,,,,,1.226,v,2.865,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,b,1,3.505,,,,,,,,,2.005,b,2.753,,0,3,3,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,b,1,2.923,,,,,,,,,1.623,b,3.233,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,v,1,2.699,,,,,,,,,1.199,b,3.645,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,c,1,11.525,,,,,,,,,10.025,c,1.329,,0,6,6,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,v,0,2.237,,,,,,,,,1.137,v,0.773,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,v,1,2.569,,,,,,,,,1.469,v,0.591,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
jp,001,2024-02-12_09h38.10.920,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,-0.084490741,-0.260416667,1,0,0,,,,,
