response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.376851837,0.013888874,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,,,,,,
,0,0.037037065,0.009259245,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,,,,,,
,0,-0.131481402,0.007407393,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,,,,,,
,0,0.347222259,0.045370357,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,,,,,,
,0,0.153703735,-0.005555571,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,,,,,,
,0,-0.330555539,0.043518477,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,,,,,,
,0,-0.141666644,-0.030555571,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,,,,,,
,0,0.366666704,0.016666652,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,,,,,,
,0,0.366666704,0.016666652,1,0,0,targImage,,,,,,,1.6666,0.375,n,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.321296279,-0.048148164,1,0,0,targImage,,,,,,,2.3332,-0.375,c,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.382407392,-0.070370387,1,0,0,targImage,,,,,,,2.5554,-0.375,c,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.045370398,-0.016666682,1,0,0,targImage,,,,,,,1,0.125,b,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.142592514,-0.003703719,1,0,0,targImage,,,,,,,1.6666,-0.125,v,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.290740723,-0.038888905,1,0,0,targImage,,,,,,,1.6666,-0.375,c,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.20740744,-0.005555571,1,0,0,targImage,,,,,,,1.8888,0.125,b,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.354629667,-0.01481483,1,0,0,targImage,,,,,,,2.3332,0.375,n,k$ol,001,2020-10-22_14h57.03.675,choiceRTT,3.1.3,60,1,0,40,27,1,39
