response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.331481473,0.001851844,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,,,,,,
,0,-0.357407399,0.006481474,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,,,,,,
,0,-0.124074063,-0.039814823,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,,,,,,
,0,-0.145370359,-0.035185193,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,,,,,,
,0,0.099074089,-0.055555564,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,,,,,,
,0,0.329629648,-0.025925934,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,,,,,,
,0,0.387963095,0.0324074,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,,,,,,
,0,0.118518534,-0.030555563,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,,,,,,
,0,-0.105555544,-0.038888897,1,0,0,targImage,,,,,,,1.4444,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.355555687,0.001851844,1,0,0,targImage,,,,,,,1,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.28796298,-0.025925934,1,0,0,targImage,,,,,,,1.4444,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.092592581,-0.040740749,1,0,0,targImage,,,,,,,1.6666,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.370370363,-0.032407415,1,0,0,targImage,,,,,,,1,-0.375,c,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.363888908,0.011111104,1,0,0,targImage,,,,,,,2.5554,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.087962978,-0.011111119,1,0,0,targImage,,,,,,,2.3332,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.112037025,-0.012037045,1,0,0,targImage,,,,,,,2.9998,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.329629648,-0.007407415,1,0,0,targImage,,,,,,,2.3332,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.339814807,-0.015740748,1,0,0,targImage,,,,,,,1.4444,-0.375,c,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.410185205,0.018518511,1,0,0,targImage,,,,,,,2.7776,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.323148279,-0.010185193,1,0,0,targImage,,,,,,,2.111,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.358333325,-7.4558E-09,1,0,0,targImage,,,,,,,1.6666,-0.375,c,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.197222238,-0.011111119,1,0,0,targImage,,,,,,,1.2222,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.209259276,-0.010185193,1,0,0,targImage,,,,,,,2.111,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.084259274,-0.0175926,1,0,0,targImage,,,,,,,1.8888,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.103703718,-0.04722223,1,0,0,targImage,,,,,,,1.6666,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.278703695,-0.020370378,1,0,0,targImage,,,,,,,1.8888,-0.375,c,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.074999988,-0.042592601,1,0,0,targImage,,,,,,,1.8888,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.111111126,-0.035185193,1,0,0,targImage,,,,,,,1,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.062037025,-0.034259267,1,0,0,targImage,,,,,,,2.3332,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.089814829,-0.020370378,1,0,0,targImage,,,,,,,1.4444,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.03796295,0.035185178,1,0,0,targImage,,,,,,,1,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.353703696,-0.042592601,1,0,0,targImage,,,,,,,2.3332,-0.375,c,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.138888904,0.044444438,1,0,0,targImage,,,,,,,2.9998,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.071296284,0.004629622,1,0,0,targImage,,,,,,,2.111,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.31388902,0.059259224,1,0,0,targImage,,,,,,,2.9998,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.167592582,0.004629622,1,0,0,targImage,,,,,,,2.5554,-0.125,v,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.310185177,0.001851844,1,0,0,targImage,,,,,,,2.111,-0.375,c,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.357407426,0.040740706,1,0,0,targImage,,,,,,,1.8888,0.375,n,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.158333349,0.0324074,1,0,0,targImage,,,,,,,2.7776,0.125,b,kcht,001,2021-10-21_13h40.16.752,choiceRTT,3.1.3,60,1,0,40,34,1,39
