response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.15234375,0.036458333,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,,,,,,
,0,-0.359375,0.063802083,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,,,,,,
,0,-0.072916667,-0.009114583,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,,,,,,
,0,-0.291666667,0.020833333,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,,,,,,
,0,-0.061197917,-0.009114583,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,,,,,,
,0,0.388020833,0.03515625,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,,,,,,
,0,0.3359375,0.026041667,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,,,,,,
,0,0.143229167,0.00390625,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,,,,,,
,0,0.118489583,-0.03125,1,0,0,targImage,,,,,,,1,0.125,b,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.033854167,-0.006510417,1,0,0,targImage,,,,,,,1.6666,0.125,b,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.38671875,-0.015625,1,0,0,targImage,,,,,,,1.2222,-0.375,c,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.15234375,0.022135417,1,0,0,targImage,,,,,,,1.2222,0.125,b,khashi,001,2021-06-02_05h49.34.858,choiceRTT,3.1.3,60,1,0,40,6,1,39
