response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.095370302,-0.049074082,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,,,,,,
,0,-0.380555548,0.00277777,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,,,,,,
,0,0.158333349,-0.049074082,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,,,,,,
,0,-0.449999993,0.001851844,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,,,,,,
,0,-0.089814803,-0.053703712,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,,,,,,
,0,0.08055557,-0.084259268,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,,,,,,
,0,0.30925939,-0.030555563,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,,,,,,
,0,0.400000019,0.008333326,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,,,,,,
,0,-0.157407397,0.033333326,1,0,0,targImage,,,,,,,1.6666,-0.125,v,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.389814834,0.033333326,1,0,0,targImage,,,,,,,2.7776,0.375,n,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.398148167,0.025925919,1,0,0,targImage,,,,,,,1,0.375,n,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.329629648,-0.000925933,1,0,0,targImage,,,,,,,1.2222,0.375,n,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.294444379,0.037962956,1,0,0,targImage,,,,,,,1.2222,-0.375,c,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.087037025,-0.041666675,1,0,0,targImage,,,,,,,1.2222,-0.125,v,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.347222241,-0.012037045,1,0,0,targImage,,,,,,,2.5554,0.375,n,l,001,2021-02-24_20h40.18.272,choiceRTT,3.1.3,60,1,0,40,31,1,39
