response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.414814815,-0.019444444,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,,,,,,
,0,0.146296296,-0.018518519,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,,,,,,
,0,-0.137037037,-0.012962963,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,,,,,,
,0,-0.377777778,-0.032407407,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,,,,,,
,0,0.103703704,0.008333333,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,,,,,,
,0,-0.369444444,0.011111111,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,,,,,,
,0,-0.123148148,0.00462963,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,,,,,,
,0,0.368518519,0.02037037,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,,,,,,
,0,0.355555556,0.000925926,1,0,0,targImage,,,,,,,2.3332,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.07037037,0.018518519,1,0,0,targImage,,,,,,,2.7776,0.125,b,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.165740741,0.009259259,1,0,0,targImage,,,,,,,1.2222,-0.125,v,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.128703704,-0.000925926,1,0,0,targImage,,,,,,,2.5554,-0.125,v,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.09537037,-0.00462963,1,0,0,targImage,,,,,,,2.9998,0.125,b,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.09537037,-0.00462963,1,0,0,targImage,,,,,,,1.4444,0.125,b,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.322222222,-0.015740741,1,0,0,targImage,,,,,,,1.4444,-0.375,c,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.310185185,0.000925926,1,0,0,targImage,,,,,,,2.7776,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.381481481,0.005555556,1,0,0,targImage,,,,,,,2.5554,-0.375,c,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.351851852,0.024074074,1,0,0,targImage,,,,,,,1,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.103703704,-0.015740741,1,0,0,targImage,,,,,,,2.3332,-0.125,v,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.37037037,-0.026851852,1,0,0,targImage,,,,,,,1.6666,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.166666667,-0.002777778,1,0,0,targImage,,,,,,,2.7776,-0.125,v,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.375925926,-0.074074074,1,0,0,targImage,,,,,,,2.9998,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.215740741,-0.071296296,1,0,0,targImage,,,,,,,1,-0.125,v,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.219444444,-0.059259259,1,0,0,targImage,,,,,,,2.5554,0.125,b,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.400925926,-0.035185185,1,0,0,targImage,,,,,,,2.5554,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.412037037,-0.005555556,1,0,0,targImage,,,,,,,1.6666,-0.375,c,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.137962963,0.00462963,1,0,0,targImage,,,,,,,1.2222,0.125,b,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.392592593,-0.023148148,1,0,0,targImage,,,,,,,1.8888,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.087962963,-0.015740741,1,0,0,targImage,,,,,,,1.8888,-0.125,v,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.357407407,-0.025,1,0,0,targImage,,,,,,,1.2222,0.375,n,lakshman,001,2020-07-13_14h03.24.777,choiceRTT,3.1.3,60,1,0,40,7,1,39
