keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,0.2312,,,,,,,,-0.8688,v,1.338,0,0,0,0,1,1.1,images/target_cross.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
c,0,2.3084,,,,,,,,0.8084,v,1.2706,0,1,1,4,1,1.5,images/target_plus.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
b,0,2.0795,,,,,,,,0.7795,v,3.1632,0,2,2,8,1,1.3,images/target_square.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
c,0,1.8738,,,,,,,,0.7738,c,1.8461,0,3,3,7,1,1.1,images/target_plus.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
v,0,4.2717,,,,,,,,2.7717,v,5.2378,0,4,4,6,1,1.5,images/target_cross.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
c,0,2.2955,,,,,,,,0.9955,c,6.2262,0,5,5,1,1,1.3,images/target_plus.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
v,1,3.0541,,,,,,,,1.5541,v,2.8848,0,6,6,2,1,1.5,images/target_square.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
c,1,1.9564,,,,,,,,0.6564,c,2.9688,0,7,7,3,1,1.3,images/target_cross.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
v,1,2.121,,,,,,,,1.021,v,1.3076,0,8,8,5,1,1.1,images/target_square.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,,,,,
c,0,1.8059,,,,,,,,0.7059,,,,,,,,1.1,images/target_plus.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,space,5.6196,0.143092105,-0.211622807,0,0,0,0,0,0,7,1
c,0,1.8414,,,,,,,,0.5414,,,,,,,,1.3,images/target_plus.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,0,1,1,1,1
c,0,1.9245,,,,,,,,0.4245,,,,,,,,1.5,images/target_plus.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,0,2,2,4,1
v,1,2.5905,,,,,,,,1.0905,,,,,,,,1.5,images/target_square.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,0,3,3,2,1
c,1,1.8904,,,,,,,,0.5904,,,,,,,,1.3,images/target_cross.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,0,4,4,3,1
v,1,1.9245,,,,,,,,0.8245,,,,,,,,1.1,images/target_square.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,0,5,5,5,1
v,1,1.7984,,,,,,,,0.4984,,,,,,,,1.3,images/target_square.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,0,6,6,8,1
c,1,2.5121,,,,,,,,1.0121,,,,,,,,1.5,images/target_cross.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,0,7,7,6,1
c,1,1.9054,,,,,,,,0.8054,,,,,,,,1.1,images/target_cross.jpg,leo1,001,2022-10-12_14h04.03.593,choiceRTT,2021.2.3,Win32,60.53635208,,,,,,,,0,8,8,0,1
