response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.096774194,0.000488759,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,,,,,,
,0,-0.344086022,-0.009286413,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,,,,,,
,0,-0.065493646,-0.018084066,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,,,,,,
,0,0.107526882,-0.007331378,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,,,,,,
,0,0.388074291,-0.03372434,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,,,,,,
,0,-0.167155425,0.011241447,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,,,,,,
,0,-0.444770283,0.02688172,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,,,,,,
,0,0.331378299,-0.008308895,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,,,,,,
,0,-0.101661779,0.020039101,1,0,0,targImage,,,,,,,2.3332,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.193548387,-0.031769306,1,0,0,targImage,,,,,,,2.111,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.025415445,-0.012218964,1,0,0,targImage,,,,,,,1,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.302052786,0.005376344,1,0,0,targImage,,,,,,,2.5554,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.318670577,0.002443793,1,0,0,targImage,,,,,,,2.9998,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.157380254,-0.018084066,1,0,0,targImage,,,,,,,1.2222,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.33431085,-0.005376344,1,0,0,targImage,,,,,,,1,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.328445748,-0.006353861,1,0,0,targImage,,,,,,,1.2222,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.174975562,0.013196481,1,0,0,targImage,,,,,,,1.6666,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.320625611,-0.009286413,1,0,0,targImage,,,,,,,1.8888,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.360703812,0.002443793,1,0,0,targImage,,,,,,,1.6666,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.454545455,-0.025904203,1,0,0,targImage,,,,,,,2.9998,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.071358749,0.028836755,1,0,0,targImage,,,,,,,2.7776,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.286412512,0.016129032,1,0,0,targImage,,,,,,,2.7776,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.059628543,0.039589443,1,0,0,targImage,,,,,,,1,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.406647116,-0.00342131,1,0,0,targImage,,,,,,,2.3332,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.127077224,0.020039101,1,0,0,targImage,,,,,,,1.8888,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.089931574,0.022971652,1,0,0,targImage,,,,,,,1.6666,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.063538612,0.022971652,1,0,0,targImage,,,,,,,1.4444,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.19941349,0.008308895,1,0,0,targImage,,,,,,,2.3332,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.19941349,0.008308895,1,0,0,targImage,,,,,,,1.4444,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.474095797,0.038611926,1,0,0,targImage,,,,,,,1.6666,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.119257087,0.012218964,1,0,0,targImage,,,,,,,2.5554,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.119257087,0.012218964,1,0,0,targImage,,,,,,,2.111,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.119257087,0.012218964,1,0,0,targImage,,,,,,,2.9998,-0.125,v,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.142717498,0.015151515,1,0,0,targImage,,,,,,,2.7776,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.347018573,0.013196481,1,0,0,targImage,,,,,,,1.4444,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.065493646,0.019061584,1,0,0,targImage,,,,,,,2.5554,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.065493646,0.019061584,1,0,0,targImage,,,,,,,1.2222,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.321603128,-0.00342131,1,0,0,targImage,,,,,,,2.111,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.290322581,0.030791789,1,0,0,targImage,,,,,,,2.111,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.290322581,0.030791789,1,0,0,targImage,,,,,,,1.2222,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.436950147,-0.000488759,1,0,0,targImage,,,,,,,2.5554,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.368523949,0.059139785,1,0,0,targImage,,,,,,,1.8888,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.088954057,0.049364614,1,0,0,targImage,,,,,,,2.9998,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.306940371,0.019061584,1,0,0,targImage,,,,,,,1,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.338220919,-0.043499511,1,0,0,targImage,,,,,,,2.7776,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.33431085,-0.000488759,1,0,0,targImage,,,,,,,2.3332,-0.375,c,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.323558162,-0.019061584,1,0,0,targImage,,,,,,,1.4444,0.375,n,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.14173998,-0.005376344,1,0,0,targImage,,,,,,,1.8888,0.125,b,ll,001,2020-10-16_11h51.42.192,choiceRTT,3.1.3,60,1,0,40,18,1,39
