response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.050694444,0.023611111,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,,,,,,
,0,0.373611111,-0.035416667,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,,,,,,
,0,-0.327083333,-0.00625,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,,,,,,
,0,0.159722222,-0.013194444,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,,,,,,
,0,0.280555556,-0.031944444,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,,,,,,
,0,-0.1875,-0.027083333,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,,,,,,
,0,-0.368055556,0.026388889,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,,,,,,
,0,-0.088194444,-0.006944444,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,,,,,,
,0,0.371527778,-0.002777778,1,0,0,targImage,,,,,,,1.6666,0.375,n,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.335416667,-0.019444444,1,0,0,targImage,,,,,,,2.9998,0.375,n,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.165277778,0.004166667,1,0,0,targImage,,,,,,,2.3332,-0.125,v,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.359027778,0.002777778,1,0,0,targImage,,,,,,,1.2222,-0.375,c,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.121527778,0.006944444,1,0,0,targImage,,,,,,,1,-0.125,v,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.111111111,-0.002083333,1,0,0,targImage,,,,,,,1.8888,-0.125,v,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.384027778,-0.0375,1,0,0,targImage,,,,,,,1,0.375,n,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.349305556,0.013194444,1,0,0,targImage,,,,,,,1,-0.375,c,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.19375,-0.011111111,1,0,0,targImage,,,,,,,2.3332,0.125,b,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.094444444,0.001388889,1,0,0,targImage,,,,,,,2.5554,-0.125,v,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.105555556,-0.009722222,1,0,0,targImage,,,,,,,1.2222,0.125,b,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.210416667,-0.023611111,1,0,0,targImage,,,,,,,1,0.125,b,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.304166667,0.011805556,1,0,0,targImage,,,,,,,2.7776,-0.375,c,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.291666667,-0.018055556,1,0,0,targImage,,,,,,,1.8888,0.375,n,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.05625,-0.027777778,1,0,0,targImage,,,,,,,2.9998,-0.125,v,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.085416667,0.000694444,1,0,0,targImage,,,,,,,1.8888,0.125,b,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.1375,0.004861111,1,0,0,targImage,,,,,,,2.5554,0.125,b,ludwig,001,2021-12-10_11h08.20.895,choiceRTT,3.1.3,60,1,0,40,30,1,39
