participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.882,,,,,,,,,0.782,b,2.038,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.088,,,,,,,,,0.788,v,3.946,,0,1,1,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.76,,,,,,,,,0.66,v,1.005,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.989,,,,,,,,,0.489,v,0.715,,0,3,3,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.357,,,,,,,,,0.857,v,1.548,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.788,,,,,,,,,0.488,v,0.89,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.944,,,,,,,,,0.644,v,0.747,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.273,,,,,,,,,1.173,v,0.788,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.213,,,,,,,,,0.713,v,0.555,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,space,3.907,,0.108864697,-0.084758942,0,0,0,,,,,
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.13,,,,,,,,,0.63,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,0,0,2,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.508,,,,,,,,,0.408,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,1,1,5,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.069,,,,,,,,,0.569,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,2,2,6,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,0,1.606,,,,,,,,,0.506,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,3,3,0,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,c,0,0.056,,,,,,,,,-1.244,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,4,4,1,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.393,,,,,,,,,0.893,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,5,5,4,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.843,,,,,,,,,0.543,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,6,6,8,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.867,,,,,,,,,0.567,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,7,7,3,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.788,,,,,,,,,0.688,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,8,8,7,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.659,,,,,,,,,0.559,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,0,9,0,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.635,,,,,,,,,0.535,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,1,10,5,1
mackayla,001,2023-11-16_17h45.26.717,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.847,,,,,,,,,0.547,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,2,11,8,1
