response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.110185215,-0.01481483,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,,,,,,
,0,-0.363888873,0.015740726,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,,,,,,
,0,-0.133333311,0.024999986,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,,,,,,
,0,-0.335185169,0.045370357,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,,,,,,
,0,0.359259296,-0.001851867,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,,,,,,
,0,0.117592623,0.005555541,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,,,,,,
,0,-0.114814735,-0.016666682,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,,,,,,
,0,0.350925963,0.012962948,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,,,,,,
,0,0.170370402,0.007407393,1,0,0,targImage,,,,,,,2.5554,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.162037068,0.005555541,1,0,0,targImage,,,,,,,2.7776,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.122222199,-0.0101852,1,0,0,targImage,,,,,,,1.6666,-0.125,v,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.078703733,-0.02407409,1,0,0,targImage,,,,,,,1.8888,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.345370354,-0.009259274,1,0,0,targImage,,,,,,,2.5554,-0.375,c,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.079629658,-0.01944446,1,0,0,targImage,,,,,,,1,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.087962992,-0.018518534,1,0,0,targImage,,,,,,,1.6666,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.336111095,0.001851837,1,0,0,targImage,,,,,,,2.111,-0.375,c,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.358333371,-0.004629645,1,0,0,targImage,,,,,,,2.9998,0.375,n,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.143518496,-0.000925941,1,0,0,targImage,,,,,,,1,-0.125,v,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.383333318,0.003703689,1,0,0,targImage,,,,,,,2.9998,-0.375,c,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.290740776,-0.01481483,1,0,0,targImage,,,,,,,1.4444,0.375,n,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.350000037,-0.018518534,1,0,0,targImage,,,,,,,1,0.375,n,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.082407436,-0.047222239,1,0,0,targImage,,,,,,,2.111,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.31203702,0.025925912,1,0,0,targImage,,,,,,,1.4444,-0.375,c,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.316666703,0.016666652,1,0,0,targImage,,,,,,,2.5554,0.375,n,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.137037068,0.027777764,1,0,0,targImage,,,,,,,1.2222,0.125,b,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.099999976,-0.029629645,1,0,0,targImage,,,,,,,1.4444,-0.125,v,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.409259245,0.027777764,1,0,0,targImage,,,,,,,2.7776,-0.375,c,me,001,2021-04-13_20h13.57.063,choiceRTT,3.1.3,60,1,0,40,32,1,39
