participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.755,,,,,,,,,0.655,space,6.864,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.17,,,,,,,,,0.67,space,1.451,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,b,0,1.613,,,,,,,,,0.313,space,0.779,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.726,,,,,,,,,0.626,space,0.642,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.547,,,,,,,,,0.447,space,2.271,,0,4,4,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.859,,,,,,,,,1.359,space,1.186,,0,5,5,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.205,,,,,,,,,0.705,space,0.777,,0,6,6,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,b,0,1.824,,,,,,,,,0.524,space,0.484,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.139,,,,,,,,,0.839,space,0.841,,0,8,8,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,space,1.325,,-0.141798942,-0.294708995,0,0,0,,,,,
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.571,,,,,,,,,1.071,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,0,0,2,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.8,,,,,,,,,0.5,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,1,1,8,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.546,,,,,,,,,0.446,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,2,2,7,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.589,,,,,,,,,0.289,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,3,3,3,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,b,1,0.146,,,,,,,,,-1.154,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,4,4,1,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.823,,,,,,,,,0.323,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,5,5,6,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.596,,,,,,,,,0.496,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,6,6,5,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.606,,,,,,,,,0.506,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,7,7,0,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,b,1,0.152,,,,,,,,,-1.348,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,8,8,4,1
messi,001,2023-11-28_16h12.08.973,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2,,,,,,,,,0.5,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,0,9,6,1
