response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.131431636,0.006477073,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,,,,,,
,0,-0.055879268,-0.000371297,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,,,,,,
,0,-0.288069774,0.005427212,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,,,,,,
,0,-0.190547463,-0.008460377,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,,,,,,
,0,-0.334547198,-0.010424579,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,,,,,,
,0,0.290193911,-0.009442534,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,,,,,,
,0,0.312919899,-0.020684984,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,,,,,,
,0,0.122358308,-0.011491168,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,,,,,,
,0,0.144427038,-0.019389174,1,0,0,targImage,,,,,,,2.3332,0.125,b,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.327470681,-0.007777122,1,0,0,targImage,,,,,,,1.4444,-0.375,c,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.345263163,0.003150262,1,0,0,targImage,,,,,,,2.7776,-0.375,c,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.150561636,0.001356111,1,0,0,targImage,,,,,,,2.3332,-0.125,v,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.130542218,-0.001187134,1,0,0,targImage,,,,,,,1.6666,0.125,b,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.364241536,-0.004318915,1,0,0,targImage,,,,,,,1.4444,0.375,n,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.136185823,0.002864357,1,0,0,targImage,,,,,,,1.4444,-0.125,v,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.358917688,0.016137356,1,0,0,targImage,,,,,,,2.7776,0.375,n,mm,001,2021-03-25_17h42.33.874,choiceRTT,3.1.3,60,1,0,40,35,1,39
