response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.08984375,-0.022460938,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,,,,,,
,0,0.33984375,-0.008789063,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,,,,,,
,0,-0.10546875,-0.0078125,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,,,,,,
,0,-0.10546875,-0.0078125,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,,,,,,
,0,-0.395507813,-0.009765625,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,,,,,,
,0,0.125976563,-0.006835938,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,,,,,,
,0,-0.336914063,-0.001953125,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,,,,,,
,0,0.330078125,-0.00390625,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,,,,,,
,0,0.331054688,-0.028320313,1,0,0,targImage,,,,,,,2.3332,0.375,n,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,1,0,40,27,1,39
,0,-0.365234375,0.008789063,1,0,0,targImage,,,,,,,1.6666,-0.375,c,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,1,0,40,12,1,39
,0,-0.360351563,0.084960938,1,0,0,targImage,,,,,,,1,-0.375,c,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,1,0,40,0,1,39
,0,0.29296875,0.009765625,1,0,0,targImage,,,,,,,1.6666,0.375,n,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,1,0,40,15,1,39
,0,0.131835938,0.009765625,1,0,0,targImage,,,,,,,2.9998,0.125,b,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,1,0,40,38,1,39
,0,-0.056640625,0.012695313,1,0,0,targImage,,,,,,,2.7776,-0.125,v,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,1,0,40,33,1,39
,0,-0.0703125,0.01171875,1,0,0,targImage,,,,,,,1.2222,-0.125,v,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,1,0,40,5,1,39
,0,-0.291992188,0.010742188,1,0,0,targImage,,,,,,,1.4444,-0.375,c,mndghm,001,2019-02-20_13h16.56.451,choiceRTT,3.0.3,60,1,0,40,8,1,39
