participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,2.646,,,,,,,,,1.346,c,7.617,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.921,,,,,,,,,0.621,v,2.503,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,1.94,,,,,,,,,0.44,v,0.736,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.977,,,,,,,,,0.477,v,0.663,,0,3,3,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.613,,,,,,,,,0.513,v,0.58,,0,4,4,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,2.037,,,,,,,,,0.537,v,0.558,,0,5,5,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,1.886,,,,,,,,,0.586,v,0.43,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,2.143,,,,,,,,,1.043,v,0.727,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,1.735,,,,,,,,,0.635,v,1.482,,0,8,8,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,-0.069444444,-0.231481481,1,0,0,,,,,
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,1.848,,,,,,,,,0.748,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,0,0,0,1
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,2.057,,,,,,,,,0.557,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,1,1,6,1
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,1.686,,,,,,,,,0.586,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,2,2,7,1
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.495,,,,,,,,,0.395,,,,,,,,,1.1,images/target_square.jpg,,,,,,,0,3,3,5,1
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,1.735,,,,,,,,,0.435,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,4,4,1,1
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,2.013,,,,,,,,,0.513,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,5,5,4,1
ms,001,2023-08-02_16h46.16.153,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.757,,,,,,,,,0.457,,,,,,,,,1.3,images/target_square.jpg,,,,,,,0,6,6,8,1
