participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,v,1,4.158,,,,,,,,,3.058,v,11.305,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,b,1,4.575,,,,,,,,,3.075,b,4.212,,0,1,1,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.091,,,,,,,,,0.991,v,1.815,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.791,,,,,,,,,0.691,b,1.468,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,c,1,4.585,,,,,,,,,3.085,v,1.303,,0,4,4,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.892,,,,,,,,,0.592,b,0.929,,0,5,5,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.609,,,,,,,,,1.309,v,0.708,,0,6,6,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.949,,,,,,,,,0.649,b,0.994,,0,7,7,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.326,,,,,,,,,0.826,b,0.549,,0,8,8,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,space,5.748,,-0.144444444,-0.278703704,0,0,0,,,,,
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.785,,,,,,,,,1.685,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,0,0,0,1
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,b,1,2.239,,,,,,,,,0.739,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,1,1,4,1
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.492,,,,,,,,,1.192,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,2,2,3,1
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.803,,,,,,,,,0.703,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,3,3,7,1
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.652,,,,,,,,,0.552,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,4,4,5,1
msharhan,001,2023-08-01_23h03.40.884,choiceRTT,2023.1.3,MacIntel,62.5,v,1,1.903,,,,,,,,,0.603,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,5,5,8,1
