response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.131111111,0.085555556,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,,,,,,
,0,0.373333333,0.015555556,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,,,,,,
,0,0.321111111,0.005555556,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,,,,,,
,0,-0.134444444,0.01,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,,,,,,
,0,-0.108888889,0.01,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,,,,,,
,0,-0.276666667,-0.007777778,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,,,,,,
,0,-0.315555556,-0.004444444,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,,,,,,
,0,0.193333333,0.04,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,,,,,,
,0,-0.38,0.001111111,1,0,0,targImage,,,,,,,2.5554,-0.375,c,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.131111111,0.01,1,0,0,targImage,,,,,,,1.8888,0.125,b,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.165555556,-0.001111111,1,0,0,targImage,,,,,,,1.4444,-0.125,v,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.121111111,0.016666667,1,0,0,targImage,,,,,,,1,0.125,b,n,001,2021-04-28_22h18.11.935,choiceRTT,3.1.3,60,1,0,40,2,1,39
