response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.134726563,0.016279297,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,,,,,,
,0,-0.417495117,-0.036542969,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,,,,,,
,0,-0.29753418,0.042709961,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,,,,,,
,0,0.345234375,0.019580078,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,,,,,,
,0,0.120957031,0.013608398,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,,,,,,
,0,0.441674805,0.032758789,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,,,,,,
,0,-0.142631836,-0.012441406,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,,,,,,
,0,0.11996582,-0.031152344,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,,,,,,
,0,0.098754883,-0.022548828,1,0,0,targImage,,,,,,,2.5554,0.125,b,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.095332031,0.032421875,1,0,0,targImage,,,,,,,2.5554,-0.125,v,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.160131836,-0.00909668,1,0,0,targImage,,,,,,,1.2222,0.125,b,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.101098633,-0.013876953,1,0,0,targImage,,,,,,,1.8888,-0.125,v,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.399716797,0.025703125,1,0,0,targImage,,,,,,,2.3332,0.375,n,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.132768555,-0.013486328,1,0,0,targImage,,,,,,,1.4444,0.125,b,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.130854492,0.005405273,1,0,0,targImage,,,,,,,1,0.125,b,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.333935547,-0.012924805,1,0,0,targImage,,,,,,,2.5554,0.375,n,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.366977539,-0.04090332,1,0,0,targImage,,,,,,,2.111,-0.375,c,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.13824707,0.031748047,1,0,0,targImage,,,,,,,2.111,-0.125,v,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.15362793,0.016704102,1,0,0,targImage,,,,,,,1.6666,-0.125,v,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.348618164,0.030146484,1,0,0,targImage,,,,,,,1.2222,-0.375,c,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.143676758,-0.028071289,1,0,0,targImage,,,,,,,2.3332,0.125,b,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.381328125,-0.02081543,1,0,0,targImage,,,,,,,1.4444,-0.375,c,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.409902344,0.038525391,1,0,0,targImage,,,,,,,2.3332,-0.375,c,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.37840332,-0.040307617,1,0,0,targImage,,,,,,,1,0.375,n,name,001,2021-11-24_00h45.03.863,choiceRTT,3.1.3,60,1,0,40,3,1,39
