keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,6.428,,,,,,,,4.928,space,0.9846,0,0,0,4,1,1.5,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,0,1.1998,,,,,,,,-0.1002,space,1.0602,0,1,1,8,1,1.3,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,0,1.1417,,,,,,,,-0.3583,space,0.8377,0,2,2,2,1,1.5,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,1,1.1005,,,,,,,,0.0005,space,14.6112,0,3,3,7,1,1.1,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,0,1.0709,,,,,,,,-0.0291,space,5.4762,0,4,4,5,1,1.1,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,1,0.7515,,,,,,,,-0.5485,space,1.6721,0,5,5,1,1,1.3,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,0,0.992,,,,,,,,-0.308,space,0.8049,0,6,6,3,1,1.3,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,0,0.7758,,,,,,,,-0.7242,space,0.5107,0,7,7,6,1,1.5,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,0,1.6385,,,,,,,,0.5385,space,1.8809,0,8,8,0,1,1.1,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,,,,,
b,1,0.9868,,,,,,,,-0.1132,,,,,,,,1.1,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,space,1.7649,0.265625,-0.341145833,0,0,0,0,0,0,7,1
b,0,1.4297,,,,,,,,0.3297,,,,,,,,1.1,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,0,1,1,5,1
b,0,0.9371,,,,,,,,-0.5629,,,,,,,,1.5,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,0,2,2,2,1
b,0,0.9235,,,,,,,,-0.3765,,,,,,,,1.3,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,0,3,3,8,1
b,0,0.8729,,,,,,,,-0.4271,,,,,,,,1.3,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,0,4,4,3,1
b,0,0.8048,,,,,,,,-0.2952,,,,,,,,1.1,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,0,5,5,0,1
b,1,1.0695,,,,,,,,-0.2305,,,,,,,,1.3,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,0,6,6,1,1
b,1,0.9336,,,,,,,,-0.5664,,,,,,,,1.5,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,0,7,7,4,1
b,0,0.9368,,,,,,,,-0.5632,,,,,,,,1.5,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,0,8,8,6,1
b,1,1.0669,,,,,,,,-0.4331,,,,,,,,1.5,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,0,9,4,1
b,0,1.6115,,,,,,,,0.3115,,,,,,,,1.3,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,1,10,3,1
b,1,1.3274,,,,,,,,0.2274,,,,,,,,1.1,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,2,11,7,1
b,1,8.3073,,,,,,,,7.0073,,,,,,,,1.3,images/target_plus.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,3,12,1,1
v,0,3.4045,,,,,,,,1.9045,,,,,,,,1.5,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,4,13,6,1
b,0,3.6067,,,,,,,,2.5067,,,,,,,,1.1,images/target_cross.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,5,14,0,1
v,1,2.1444,,,,,,,,1.0444,,,,,,,,1.1,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,6,15,5,1
v,1,2.2219,,,,,,,,0.7219,,,,,,,,1.5,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,7,16,2,1
v,1,1.989,,,,,,,,0.689,,,,,,,,1.3,images/target_square.jpg,nik ,001,2023-01-31_01h55.28.681,choiceRTT,2021.2.3,Win32,60.0276127,,,,,,,,1,8,17,8,1
