participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,keyResp.rt,keyResp.duration
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.21851849,-0.248148176,1,0,0,7.2726,cross_button,1,5.9726,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.203703732,-0.274074131,1,0,0,4.8755,plus_button,0,3.7755,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.27870369,-0.257407464,1,0,0,4.6466,cross_button,0,3.3466,,0,2,2,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.196296268,-0.237037065,1,0,0,3.4648,cross_button,1,1.9648,,0,3,3,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.044444444,-0.229629686,1,0,0,2.9541,square_button,1,1.8541,,0,4,4,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.023148176,-0.276851908,1,0,0,4.1152,square_button,1,2.8152,,0,5,5,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.003703647,-0.233333333,1,0,0,2.7315,square_button,1,1.2315,,0,6,6,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.283333333,-0.268518575,1,0,0,2.706,plus_button,1,1.206,,0,7,7,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.152777778,-0.184259288,1,0,0,1.0878,plus_button,1,-0.0122,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,0.027777778,-0.254629686,1,0,0,,,,,,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.027777778,-0.248148176,1,0,0,2.814,square_button,1,1.314,,,,,,,1.5,images/target_square.jpg,,,,,,,0,0,0,2,1,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.162962935,-0.25,1,0,0,3.0584,cross_button,1,1.5584,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,1,1,6,1,,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,b,0,,,,,,,,,9.2379,,,,,,,1.1,images/target_square.jpg,,,,,,,0,2,2,5,1,10.3379,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,c,1,,,,,,,,,2.1776,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,3,3,3,1,3.4776,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,b,1,,,,,,,,,2.2284,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,4,4,4,1,3.7284,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,b,1,,,,,,,,,1.7399,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,5,5,1,1,3.0399,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,c,0,,,,,,,,,1.6091,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,6,6,7,1,2.7091,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,c,1,,,,,,,,,1.6347,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,7,7,0,1,2.7347,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,v,1,,,,,,,,,1.1047,,,,,,,1.3,images/target_square.jpg,,,,,,,0,8,8,8,1,2.4047,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,c,0,,,,,,,,,1.2987,,,,,,,1.1,images/target_plus.jpg,,,,,,,1,0,9,7,1,2.3987,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,b,0,,,,,,,,,1.4815,,,,,,,1.1,images/target_cross.jpg,,,,,,,1,1,10,0,1,2.5815,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,v,0,,,,,,,,,1.0372,,,,,,,1.5,images/target_plus.jpg,,,,,,,1,2,11,4,1,2.5372,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,c,0,,,,,,,,,1.2726,,,,,,,1.1,images/target_square.jpg,,,,,,,1,3,12,5,1,2.3726,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,v,0,,,,,,,,,-0.4608,,,,,,,1.3,images/target_plus.jpg,,,,,,,1,4,13,1,1,0.8392,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,v,1,,,,,,,,,1.7698,,,,,,,1.3,images/target_square.jpg,,,,,,,1,5,14,8,1,3.0698,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,c,1,,,,,,,,,1.3382,,,,,,,1.3,images/target_cross.jpg,,,,,,,1,6,15,3,1,2.6382,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,v,1,,,,,,,,,1.4972,,,,,,,1.5,images/target_square.jpg,,,,,,,1,7,16,2,1,2.9972,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,c,1,,,,,,,,,1.0295,,,,,,,1.5,images/target_cross.jpg,,,,,,,1,8,17,6,1,2.5295,
nithin,001,2024-02-17_13h03.53.427,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
