participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,correctMouseResp,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,v,1,1.69,,,,,,,,,0.19,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.217129601,-0.238425944,1,0,0,2.414,cross_button,1.114,,0,1,1,1,1,1.3,images/target_plus.jpg,0,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.23194472,-0.264352057,1,0,0,2.657,plus_button,1.157,,0,2,2,4,1,1.5,images/target_plus.jpg,1,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.025000254,-0.237962988,1,0,0,2.09,square_button,0.79,,0,3,3,8,1,1.3,images/target_square.jpg,1,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.187499788,-0.235185199,1,0,0,3.965,cross_button,2.665,,0,4,4,3,1,1.3,images/target_cross.jpg,1,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.233796332,-0.242129644,1,0,0,2.489,plus_button,1.389,,0,5,5,7,1,1.1,images/target_plus.jpg,1,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.206481457,-0.241203732,1,0,0,2.734,cross_button,1.234,,0,6,6,6,1,1.5,images/target_cross.jpg,1,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.063889292,-0.247222424,1,0,0,2.207,square_button,1.107,,0,7,7,5,1,1.1,images/target_square.jpg,1,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.203240712,-0.250463168,1,0,0,2.366,cross_button,1.266,,0,8,8,0,1,1.1,images/target_cross.jpg,1,,,,,,,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,-0.025462733,-0.236111323,1,0,0,,,,,
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.016203562,-0.236574279,1,0,0,1.904,square_button,0.804,,,,,,,1.1,images/target_square.jpg,1,,,,,,,0,0,0,5,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.015277757,-0.236574279,1,0,0,0.349,square_button,-1.151,,,,,,,1.5,images/target_plus.jpg,0,,,,,,,0,1,1,4,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.011111365,-0.255555577,1,0,0,2.082,square_button,0.782,,,,,,,1.3,images/target_square.jpg,1,,,,,,,0,2,2,8,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.170370155,-0.237500138,1,0,0,1.966,cross_button,0.866,,,,,,,1.1,images/target_cross.jpg,1,,,,,,,0,3,3,0,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.002777841,-0.245370388,1,0,0,2.299,square_button,0.799,,,,,,,1.5,images/target_square.jpg,1,,,,,,,0,4,4,2,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.200462765,-0.243055767,1,0,0,2.273,cross_button,0.773,,,,,,,1.5,images/target_cross.jpg,1,,,,,,,0,5,5,6,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.209722625,-0.223148346,1,0,0,2.283,plus_button,0.983,,,,,,,1.3,images/target_plus.jpg,1,,,,,,,0,6,6,1,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.226388931,-0.232407623,1,0,0,1.966,plus_button,0.866,,,,,,,1.1,images/target_plus.jpg,1,,,,,,,0,7,7,7,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.238425785,-0.243981679,1,0,0,2.133,cross_button,0.833,,,,,,,1.3,images/target_cross.jpg,1,,,,,,,0,8,8,3,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.134722021,-0.241203732,1,0,0,2.866,cross_button,1.566,,,,,,,1.3,images/target_cross.jpg,1,,,,,,,1,0,9,3,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.0634257,-0.236574279,1,0,0,2.523,square_button,1.023,,,,,,,1.5,images/target_square.jpg,1,,,,,,,1,1,10,2,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.037962755,-0.23009279,1,0,0,1.835,square_button,0.535,,,,,,,1.3,images/target_square.jpg,1,,,,,,,1,2,11,8,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.219444434,-0.22129631,1,0,0,2.58,cross_button,1.08,,,,,,,1.5,images/target_cross.jpg,1,,,,,,,1,3,12,6,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.036574046,-0.220370399,1,0,0,1.783,square_button,0.683,,,,,,,1.1,images/target_square.jpg,1,,,,,,,1,4,13,5,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,-0.193055418,-0.220370399,1,0,0,2.099,cross_button,0.999,,,,,,,1.1,images/target_cross.jpg,1,,,,,,,1,5,14,0,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.177314864,-0.219907549,1,0,0,1.999,plus_button,0.899,,,,,,,1.1,images/target_plus.jpg,1,,,,,,,1,6,15,7,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.169907464,-0.219444646,1,0,0,2.399,plus_button,0.899,,,,,,,1.5,images/target_plus.jpg,1,,,,,,,1,7,16,4,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,0,,,0.183796353,-0.231481499,1,0,0,1.983,plus_button,0.683,,,,,,,1.3,images/target_plus.jpg,1,,,,,,,1,8,17,1,1
one,001,2023-12-24_01h16.22.765,choiceRTT,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
