keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,3.393,,,,,,,,1.893,space,6.272,0,0,0,2,1,1.5,images/target_square.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,3.522,,,,,,,,2.022,space,3.07,0,1,1,6,1,1.5,images/target_cross.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,2.616,,,,,,,,1.116,space,2.09,0,2,2,4,1,1.5,images/target_plus.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
v,1,2.031,,,,,,,,0.931,space,2.695,0,3,3,5,1,1.1,images/target_square.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,1.906,,,,,,,,0.806,space,1.376,0,4,4,7,1,1.1,images/target_plus.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,2.594,,,,,,,,1.494,space,1.901,0,5,5,0,1,1.1,images/target_cross.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,5.455,,,,,,,,4.155,space,1.51,0,6,6,3,1,1.3,images/target_cross.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,2.186,,,,,,,,0.886,space,1.932,0,7,7,1,1,1.3,images/target_plus.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
v,1,2.409,,,,,,,,1.109,space,1.586,0,8,8,8,1,1.3,images/target_square.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,2.564,,,,,,,,1.064,,,,,,,,1.5,images/target_plus.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,space,6.482,-0.11625,-0.36625,0,0,0,0,0,0,4,1
v,1,2.737,,,,,,,,1.437,,,,,,,,1.3,images/target_square.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,1,1,8,1
c,1,1.874,,,,,,,,0.774,,,,,,,,1.1,images/target_cross.jpg,p,001,2022-12-19_08h34.48.821,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,2,2,0,1
