response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.370370389,0.000925918,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,,,,,,
,0,-0.34814814,-0.043518527,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,,,,,,
,0,0.123148163,-0.001851859,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,,,,,,
,0,-0.395370363,-0.015740748,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,,,,,,
,0,0.3314815,-0.004629637,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,,,,,,
,0,-0.177777767,-0.012962971,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,,,,,,
,0,-0.153703693,0.000925918,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,,,,,,
,0,0.14444446,0.018518511,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,,,,,,
,0,0.440740761,-0.031481489,1,0,0,targImage,,,,,,,1.2222,0.375,n,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.466666632,-0.012962971,1,0,0,targImage,,,,,,,1.6666,-0.375,c,participant,001,2021-03-08_14h56.31.668,choiceRTT,3.1.3,60,1,0,40,12,1,39
