keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,4.7037,,,,,,,,3.2037,space,7.6919,0,0,0,4,1,1.5,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
c,1,2.9404,,,,,,,,1.6404,space,3.4913,0,1,1,3,1,1.3,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
b,1,2.5297,,,,,,,,1.2297,space,2.4498,0,2,2,1,1,1.3,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
c,1,3.8554,,,,,,,,2.3554,space,1.4212,0,3,3,6,1,1.5,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
c,1,1.9378,,,,,,,,0.8378,space,2.6221,0,4,4,0,1,1.1,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
v,1,2.9222,,,,,,,,1.4222,space,0.6821,0,5,5,2,1,1.5,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
v,1,1.957,,,,,,,,0.857,space,1.8992,0,6,6,5,1,1.1,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
v,1,2.2409,,,,,,,,0.9409,space,1.6844,0,7,7,8,1,1.3,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
c,0,2.3857,,,,,,,,1.2857,space,5.8481,0,8,8,7,1,1.1,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,
v,1,3.3236,,,,,,,,2.2236,,,,,,,,1.1,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,0.034259302,-0.259259259,1,0,0,0,0,0,5,1
v,1,3.0117,,,,,,,,1.5117,,,,,,,,1.5,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,0,1,1,2,1
b,1,2.3587,,,,,,,,1.0587,,,,,,,,1.3,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,0,2,2,1,1
v,0,2.9902,,,,,,,,1.6902,,,,,,,,1.3,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,0,3,3,3,1
b,1,2.5612,,,,,,,,1.0612,,,,,,,,1.5,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,0,4,4,4,1
v,1,2.1911,,,,,,,,0.8911,,,,,,,,1.3,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,0,5,5,8,1
c,1,3.3024,,,,,,,,1.8024,,,,,,,,1.5,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,0,6,6,6,1
c,1,1.9561,,,,,,,,0.8561,,,,,,,,1.1,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,0,7,7,0,1
b,1,2.3258,,,,,,,,1.2258,,,,,,,,1.1,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,0,8,8,7,1
c,1,2.6906,,,,,,,,1.5906,,,,,,,,1.1,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,0,9,0,1
b,1,2.014,,,,,,,,0.914,,,,,,,,1.1,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,1,10,7,1
b,1,2.3796,,,,,,,,0.8796,,,,,,,,1.5,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,2,11,4,1
v,1,2.3685,,,,,,,,1.0685,,,,,,,,1.3,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,3,12,8,1
v,0,2.5687,,,,,,,,1.2687,,,,,,,,1.3,images/target_plus.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,4,13,1,1
v,1,3.3935,,,,,,,,1.8935,,,,,,,,1.5,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,5,14,2,1
c,1,2.6571,,,,,,,,1.3571,,,,,,,,1.3,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,6,15,3,1
v,1,4.0535,,,,,,,,2.9535,,,,,,,,1.1,images/target_square.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,7,16,5,1
c,1,3.12,,,,,,,,1.62,,,,,,,,1.5,images/target_cross.jpg,prova3,001,2023-03-16_11h34.04.222,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,1,8,17,6,1
