participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,keyResp.rt,keyResp.duration,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,0.150000042,0,1,0,0,3.666,square_button,1,2.566,space,10.0004,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,0.240740741,-0.072222215,1,0,0,2.0991,plus_button,0,0.9991,space,7.025,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,0.20185188,-0.222222222,1,0,0,3.0166,plus_button,1,1.9166,space,4.0553,,0,2,2,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,-0.224999958,-0.264814801,1,0,0,2.1833,cross_button,0,0.8833,space,0.8331,,0,3,3,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,-0.253703718,-0.258333347,1,0,0,2.3994,cross_button,1,1.0994,space,1.9733,,0,4,4,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,0.035185213,-0.26944443,1,0,0,2.2996,square_button,1,0.7996,space,3.3692,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,-0.337037016,-0.231481481,1,0,0,2.5001,cross_button,1,1.0001,space,1.9875,,0,6,6,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,0.293518561,-0.212962963,1,0,0,2.116,plus_button,1,0.816,,,,0,7,7,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
r,001,2023-09-27_01h34.57.106,choiceRTT,2023.1.3,Win32,59.99160118,,0,0.357567168,-0.31442714,1,0,0,2.2157,plus_button,1,0.7157,space,3.1485,,0,8,8,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
