keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,ExptLoop.order
b,0,2.521,,,,,,,,1.221,space,3.2931,0,0,0,3,1,1.3,images/target_cross.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
b,1,2.4067,,,,,,,,1.1067,space,1.1193,0,1,1,1,1,1.3,images/target_plus.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
c,0,2.1866,,,,,,,,1.0866,space,0.6754,0,2,2,5,1,1.1,images/target_square.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
b,1,2.1224,,,,,,,,0.6224,space,0.6652,0,3,3,4,1,1.5,images/target_plus.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
c,0,1.9017,,,,,,,,0.8017,space,1.0006,0,4,4,7,1,1.1,images/target_plus.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
c,1,1.937,,,,,,,,0.837,space,0.4032,0,5,5,0,1,1.1,images/target_cross.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
c,1,1.9627,,,,,,,,0.4627,space,0.3516,0,6,6,6,1,1.5,images/target_cross.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
v,1,2.1301,,,,,,,,0.6301,space,0.3332,0,7,7,2,1,1.5,images/target_square.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
v,1,1.9318,,,,,,,,0.6318,space,0.318,0,8,8,8,1,1.3,images/target_square.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.3,images/target_plus.jpg,re,001,02/13/2023_15h50.10.196,choiceRTT,2021.2.3,Win32,59.69792848,,0.01179623,-0.236997303,1,0,0,0,0,0,1,1,17
