participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,v,1,6.4245,,,,,,,,,5.1245,v,1.9691,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,v,1,3.4771,,,,,,,,,1.9771,v,1.9324,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,1,1.8679,,,,,,,,,0.7679,space,1.3655,,0,2,2,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,1.7378,,,,,,,,,0.4378,space,3.1298,,0,3,3,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,v,0,1.7195,,,,,,,,,0.4195,space,0.8702,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,0,1.696,,,,,,,,,0.596,space,0.6439,,0,5,5,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,1,2.9812,,,,,,,,,1.4812,v,1.2304,,0,6,6,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,1.6597,,,,,,,,,0.5597,space,1.4125,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,2.2008,,,,,,,,,0.7008,space,0.6095,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,,,,,,,,,,,,,,,,,,,,,,,,0.020801233,-0.25192604,1,0,0,,,,,
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,v,1,3.855,,,,,,,,,2.355,,,,,,,,,1.5,images/target_square.jpg,,,,,,,0,0,0,2,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,1,2.4533,,,,,,,,,1.1533,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,1,1,1,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,1,1.6902,,,,,,,,,0.5902,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,2,2,7,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,1.8935,,,,,,,,,0.7935,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,3,3,0,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,1,2.1921,,,,,,,,,0.6921,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,4,4,4,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,v,1,1.8476,,,,,,,,,0.7476,,,,,,,,,1.1,images/target_square.jpg,,,,,,,0,5,5,5,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,2.0559,,,,,,,,,0.5559,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,6,6,6,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,v,1,1.9735,,,,,,,,,0.6735,,,,,,,,,1.3,images/target_square.jpg,,,,,,,0,7,7,8,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,2.1551,,,,,,,,,0.8551,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,8,8,3,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,1,1.6391,,,,,,,,,0.5391,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,1,0,9,7,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,1,2.2486,,,,,,,,,0.7486,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,1,1,10,4,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,1.8238,,,,,,,,,0.7238,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,1,2,11,0,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,2.4732,,,,,,,,,1.1732,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,1,3,12,3,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,0,1.8208,,,,,,,,,0.7208,,,,,,,,,1.1,images/target_square.jpg,,,,,,,1,4,13,5,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,1,2.0079,,,,,,,,,0.7079,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,1,5,14,1,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,c,1,2.2407,,,,,,,,,0.7407,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,1,6,15,6,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,v,1,1.8897,,,,,,,,,0.5897,,,,,,,,,1.3,images/target_square.jpg,,,,,,,1,7,16,8,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,b,0,2.2059,,,,,,,,,0.7059,,,,,,,,,1.5,images/target_square.jpg,,,,,,,1,8,17,2,1
renato_teste,001,2023-07-13_16h22.09.153,choiceRTT,2023.1.3,Win32,59.88741167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
