response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.349206388,-0.022817476,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,,,,,,
,0,0.173611145,-0.031746048,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,,,,,,
,0,0.459325439,0.002976176,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,,,,,,
,0,0.141865112,0.015873001,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,,,,,,
,0,-0.118055531,-0.007936523,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,,,,,,
,0,-0.307539663,0.015873001,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,,,,,,
,0,-0.212301565,-0.068452398,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,,,,,,
,0,-0.377976173,0.010912654,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,,,,,,
,0,0.345238134,-0.012896841,1,0,0,targImage,,,,,,,2.3332,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.104166641,0.007936463,1,0,0,targImage,,,,,,,1.4444,-0.125,v,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.110119079,0.0267857,1,0,0,targImage,,,,,,,2.111,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.110119079,0.0267857,1,0,0,targImage,,,,,,,1.8888,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.362103157,0.013888844,1,0,0,targImage,,,,,,,2.9998,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.362103157,0.013888844,1,0,0,targImage,,,,,,,2.111,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.362103157,0.013888844,1,0,0,targImage,,,,,,,1.4444,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.34126988,0.066468241,1,0,0,targImage,,,,,,,2.5554,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.138888921,-0.044642873,1,0,0,targImage,,,,,,,1,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.162698446,-0.011904777,1,0,0,targImage,,,,,,,2.9998,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.147817436,-0.06349208,1,0,0,targImage,,,,,,,2.5554,-0.125,v,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.144841303,-0.010912714,1,0,0,targImage,,,,,,,2.7776,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.050595211,-0.010912714,1,0,0,targImage,,,,,,,1.8888,-0.125,v,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.368055538,-0.035714302,1,0,0,targImage,,,,,,,1.2222,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.422619089,-0.000992109,1,0,0,targImage,,,,,,,2.111,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.065476164,0.000992049,1,0,0,targImage,,,,,,,1,-0.125,v,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.085317491,0.050595225,1,0,0,targImage,,,,,,,2.5554,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.193452358,-0.039682556,1,0,0,targImage,,,,,,,1.2222,-0.125,v,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.174603208,0.019841225,1,0,0,targImage,,,,,,,1.2222,0.125,b,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.345238134,0.00694443,1,0,0,targImage,,,,,,,1.4444,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.374007976,0.015873001,1,0,0,targImage,,,,,,,2.7776,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.356150776,0.016865035,1,0,0,targImage,,,,,,,2.5554,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.154761881,0.0267857,1,0,0,targImage,,,,,,,2.111,-0.125,v,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.421626968,0.014880938,1,0,0,targImage,,,,,,,1.8888,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.421626968,0.014880938,1,0,0,targImage,,,,,,,1,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.337301626,0.022817416,1,0,0,targImage,,,,,,,1,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.440476232,0.00992062,1,0,0,targImage,,,,,,,1.2222,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.325396807,-0.06051589,1,0,0,targImage,,,,,,,2.3332,-0.375,c,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.416666707,0.041666653,1,0,0,targImage,,,,,,,1.8888,0.375,n,rin,001,2020-08-17_23h40.22.554,choiceRTT,3.1.3,60,1,0,40,19,1,39
