keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,37.5088,,,,,,,,36.0088,space,1.0742,0,0,0,2,1,1.5,images/target_square.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
b,1,3.399,,,,,,,,1.899,space,1.0257,0,1,1,4,1,1.5,images/target_plus.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,1,2.3081,,,,,,,,1.0081,space,0.5862,0,2,2,8,1,1.3,images/target_square.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
c,1,1.6489,,,,,,,,0.5489,space,0.4641,0,3,3,0,1,1.1,images/target_cross.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
b,1,2.0376,,,,,,,,0.7376,space,0.4897,0,4,4,1,1,1.3,images/target_plus.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
c,1,2.2056,,,,,,,,0.7056,space,0.4525,0,5,5,6,1,1.5,images/target_cross.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
c,1,2.3235,,,,,,,,1.0235,space,0.3838,0,6,6,3,1,1.3,images/target_cross.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,1,2.1727,,,,,,,,1.0727,space,0.1667,0,7,7,5,1,1.1,images/target_square.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
b,1,2.3183,,,,,,,,1.2183,space,0.2529,0,8,8,7,1,1.1,images/target_plus.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
c,1,2.4348,,,,,,,,1.3348,,,,,,,,1.1,images/target_cross.jpg,ronaldho,001,2023-04-07_12h24.15.736,choiceRTT,2021.2.3,Win32,60.0240096,space,1.4364,0.318112633,-0.387366819,0,0,0,0,0,0,0,1
