keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,3.104400001,,,,,,,,1.604400001,space,4.3286,0,0,0,6,1,1.5,images/target_cross.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,1,1.8547,,,,,,,,0.5547,space,3.217,0,1,1,8,1,1.3,images/target_square.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,0,1.0469,,,,,,,,-0.0531,space,3.124900001,0,2,2,0,1,1.1,images/target_cross.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,0,1.071299999,,,,,,,,-0.228700001,space,1.9494,0,3,3,1,1,1.3,images/target_plus.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,1,1.030900001,,,,,,,,-0.069099999,space,0.9775,0,4,4,5,1,1.1,images/target_square.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,0,0.9883,,,,,,,,-0.1117,,,0,5,5,7,1,1.1,images/target_plus.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,0,0.9715,,,,,,,,-0.5285,,,0,6,6,4,1,1.5,images/target_plus.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,1,0.823,,,,,,,,-0.677,,,0,7,7,2,1,1.5,images/target_square.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,0,0.997799999,,,,,,,,-0.302200001,,,0,8,8,3,1,1.3,images/target_cross.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,,,,,,,,,,
v,1,1.5428,,,,,,,,0.2428,,,,,,,,1.3,images/target_square.jpg,rosa,001,2022-08-03_13h34.42.230,choiceRTT,2021.2.3,Win32,60.26637739,,-0.045370384,-0.250925912,1,0,0,0,0,0,8,1
