response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.185625,-0.04,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,,,,,,
,0,0.38,0.00125,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,,,,,,
,0,-0.320625,-0.001875,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,,,,,,
,0,0.094375,-0.018125,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,,,,,,
,0,-0.110625,-0.00625,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,,,,,,
,0,0.4425,-0.02375,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,,,,,,
,0,-0.109375,-0.00375,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,,,,,,
,0,-0.343125,0.00625,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,,,,,,
,0,0.09625,0.0075,1,0,0,targImage,,,,,,,1.4444,0.125,b,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.106875,0.00375,1,0,0,targImage,,,,,,,1.2222,-0.125,v,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.376875,0.0425,1,0,0,targImage,,,,,,,1.4444,-0.375,c,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.325625,-0.008125,1,0,0,targImage,,,,,,,2.9998,0.375,n,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.326875,-0.009375,1,0,0,targImage,,,,,,,2.7776,0.375,n,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.1175,-0.001875,1,0,0,targImage,,,,,,,1.6666,-0.125,v,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.095,0.004375,1,0,0,targImage,,,,,,,2.7776,-0.125,v,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.330625,-0.005,1,0,0,targImage,,,,,,,1,-0.375,c,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.30625,0.016875,1,0,0,targImage,,,,,,,1.4444,0.375,n,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.366875,0.03375,1,0,0,targImage,,,,,,,1.6666,0.375,n,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.129375,-0.008125,1,0,0,targImage,,,,,,,1,0.125,b,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.321875,0.010625,1,0,0,targImage,,,,,,,1.8888,0.375,n,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.359375,0.005,1,0,0,targImage,,,,,,,2.5554,-0.375,c,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.151875,-0.018125,1,0,0,targImage,,,,,,,2.5554,0.125,b,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.33,0.003125,1,0,0,targImage,,,,,,,2.3332,-0.375,c,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.416875,-0.075625,1,0,0,targImage,,,,,,,1.2222,0.375,n,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.144375,-0.0125,1,0,0,targImage,,,,,,,2.9998,0.125,b,rr,001,2020-04-15_11h56.25.495,choiceRTT,3.1.3,60,1,0,40,38,1,39
